unique_id: "Bob"
archetypeName: "Guard - Protect"
attitude: AttitudeAggressive
stats {
  body: 4
  quickness: 3
  strength: 2
  charisma: 8
  intelligence: 4
  willpower: 8
  essence: 6
  magic: 6
  reaction: 4
  hp: 40
  ap: 3
  armor: 5
  force: 0
  morale: 75
  discipline: 75
  awareness: 80
  perception: 40
  authority: 50
  protect_tether_range: 5
  move_speed: 6
  vision_peripheral_distance: 2
  vision_cone_distance: 18
  vision_cone_angle: 90
  is_fearless: 0
  is_strict: 0
}
skills {
  ranged_combat: 2
  close_combat: 0
  throwing_weapons: 0
  spellcasting: 8
  decking: 0
  deck_build_repair: 0
  conjuring: 8
  spirit_summoning: 4
  spirit_banishing: 0
  magic_defense: 0
  drone_control: 0
  remote_gunnery: 0
  drone_build_repair: 0
  athletics: 0
  biotech: 1
  dodge: 2
  negotiation: 0
  stealth: 0
  etiquette_corporate: 0
  etiquette_security: 0
  etiquette_gang: 0
  etiquette_paranormal: 0
  etiquette_socialite: 0
  etiquette_infected: 0
  chi_casting: 0
  etiquette_shadowrunner: 0
  etiquette_street: 0
  etiquette_academic: 0
}
specializations {
  bows: 0
  heavy_weapons: 0
  laser: 0
  pistol: 2
  rifle: 0
  shotgun: 0
  smg: 0
  clubs: 0
  edged: 0
  polearms: 0
  unarmed: 0
  whips: 0
  throwing_blades: 0
  attack_spells: 0
  manipulation_spells: 0
  social_spells: 0
  support_spells: 0
  combat_programs: 0
  defensive_programs: 0
  trap_programs: 0
  spirit_control: 4
  esp_control: 0
  drone_combat: 0
}
prefab_name: "Seattle:Extras/OrkFemaleProstitute"
portrait {
  filename: "pc_orkfemale_02_shaman"
}
attackRandom: AttackStyle_AllEqual
vulnerabilities {
  normal: VulnerabilityLevel_Default
  magic: VulnerabilityLevel_Default
  repair: VulnerabilityLevel_Default
  heal: VulnerabilityLevel_Default
  insecticide: VulnerabilityLevel_Default
  fire: VulnerabilityLevel_Default
  death: VulnerabilityLevel_Default
  buff: VulnerabilityLevel_Default
  debuff: VulnerabilityLevel_Default
  stun: VulnerabilityLevel_Default
  crit: VulnerabilityLevel_Default
  permadeath: VulnerabilityLevel_Default
  bleed: VulnerabilityLevel_Default
  actionpoints: VulnerabilityLevel_Default
  moverange: VulnerabilityLevel_Default
  disarm: VulnerabilityLevel_Default
  poison: VulnerabilityLevel_Default
  shock: VulnerabilityLevel_Default
  drain: VulnerabilityLevel_Default
  mental: VulnerabilityLevel_Default
}
