unique_id: "fixer Frosty"
archetypeName: "Guard - Protect"
attitude: AttitudeAggressive
stats {
  body: 1
  quickness: 1
  strength: 1
  charisma: 1
  intelligence: 1
  willpower: 1
  essence: 5
  magic: 0
  reaction: 1
  hp: 10
  ap: 2
  armor: 0
  force: 0
  morale: 99
  discipline: 75
  awareness: 99
  perception: 40
  authority: 50
  protect_tether_range: 10
  move_speed: 6
  vision_peripheral_distance: 2
  vision_cone_distance: 18
  vision_cone_angle: 90
  is_fearless: 0
  is_strict: 0
}
skills {
  ranged_combat: 0
  close_combat: 0
  throwing_weapons: 0
  spellcasting: 0
  decking: 0
  deck_build_repair: 0
  conjuring: 0
  spirit_summoning: 0
  spirit_control: 0
  spirit_banishing: 0
  magic_defense: 0
  drone_control: 0
  remote_gunnery: 0
  drone_build_repair: 0
  athletics: 0
  biotech: 0
  dodge: 0
  negotiation: 0
  stealth: 0
  etiquette_corporate: 0
  etiquette_security: 0
  etiquette_gang: 0
  etiquette_paranormal: 0
  etiquette_socialite: 0
  etiquette_infected: 0
  chi_casting: 0
  etiquette_shadowrunner: 0
  etiquette_street: 0
  etiquette_academic: 0
}
specializations {
  bows: 0
  heavy_weapons: 0
  laser: 0
  pistol: 0
  rifle: 0
  shotgun: 0
  smg: 0
  clubs: 0
  edged: 0
  polearms: 0
  unarmed: 0
  whips: 0
  throwing_blades: 0
  attack_spells: 0
  manipulation_spells: 0
  social_spells: 0
  support_spells: 0
  combat_programs: 0
  defensive_programs: 0
  trap_programs: 0
  spirit_control: 0
  esp_control: 0
  drone_combat: 0
}
prefab_name: "Seattle:Story/LynneTelestrian"
portrait {
  filename: "npc_elffemale_lynnetelestrian"
}
attackRandom: AttackStyle_AllEqual
vulnerabilities {
  normal: VulnerabilityLevel_Default
  magic: VulnerabilityLevel_Default
  repair: VulnerabilityLevel_Default
  heal: VulnerabilityLevel_Default
  insecticide: VulnerabilityLevel_Default
  fire: VulnerabilityLevel_Default
  death: VulnerabilityLevel_Default
  buff: VulnerabilityLevel_Default
  debuff: VulnerabilityLevel_Default
  stun: VulnerabilityLevel_Default
  crit: VulnerabilityLevel_Default
  permadeath: VulnerabilityLevel_Default
  bleed: VulnerabilityLevel_Default
  actionpoints: VulnerabilityLevel_Default
  moverange: VulnerabilityLevel_Default
  disarm: VulnerabilityLevel_Default
  poison: VulnerabilityLevel_Default
  shock: VulnerabilityLevel_Default
  drain: VulnerabilityLevel_Default
  mental: VulnerabilityLevel_Default
}
