id: "Adept_Rapid Healing2"
type: ItemType_Adept
uirep {
  icon: "icon_magicresistance2"
  name: "Rapid Healing II"
  description: "Adept can heal self for 20 HP."
}
anim_type: AnimType_Spell
coreAttribute: Attribute_Willpower
coreSkill: Skill_ChiCasting
forceRating: 6
apCost: 1
prereqStrings: "Player.SKILL.Skill_ChiCasting >= 6"
baseHPDamage: 20
baseAPDamage: 0
noiseLevel: 0
noiseRounds: 0
modelessAbilities: "Adept_Heal Spells"
affectsFriendly: false
affectsEnemy: false
canTargetSelf: true
canTargetActor: false
canTargetOccupiedGridPoint: false
canTargetUnoccupiedGridPoint: false
cooldown: 2
isMagic: true
fxrep {
  preActionFxName: "GenericSpellPrepare"
  actionFxName: "GenericSpellCastAction"
  postActionFxName: ""
  hitReactionFxName: "HealSpellHitReaction"
  missReactionFxName: "GenericSpellMissReaction"
}
store_cost: 1000
sorting_group: "Chi Casting (Adept)"
damageType: VulnerabilityType_Heal
instantAction: true
