id: "Ares_Weapon Focus"
type: ItemType_Melee1H
uirep {
  icon: "icon_melee_jadesword"
  name: "Ares Mono-Sword - Weapon Focus"
  description: "Melee: Ares monofilament sword that has been magically enhanced and can damage astral forms."
}
equipPrefabName: "JadeSword"
anim_type: AnimType_Melee1H
coreAttribute: Attribute_Strength
coreSkill: Skill_CloseCombat
coreSpecialization: Specialization_CC_Edged
apCost: 1
prereqStrings: "Player.SKILL.Skill_CloseCombat >= 8"
prereqStrings: "Player.RACE != RACE.DRONE"
prereqStrings: "Player.RACE != RACE.FREEDRONE"
prereqStrings: "Player.RACE != RACE.CREATURE"
maxAmmo: 0
baseHPDamage: 8
baseAPDamage: 0
rangeModTable: 10
noiseLevel: 0
noiseRounds: 0
abilityModes: "mono_focus"
affectsEnemy: true
canTargetActor: true
store_cost: 7500
sorting_group: "Melee"
maim_always: true
