id: "Drone Grenade 1 (Flash)"
type: ItemType_Thrown
uirep {
  icon: "icon_grenade_fichetticoncussion"
  name: "Fichetti Concussion Grenade"
  description: "Fischettis\' basic non-lethal grenade. It does -1 AP to everyone hit by its blast."
}
coreAttribute: Attribute_Strength
coreSkill: Skill_ThrowingWeapons
forceRating: 1
apCost: 2
maxAmmo: 0
baseHPDamage: 0
baseAPDamage: 1
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
effectModTable: 1
effectModTable: 1
noiseLevel: 10
noiseRounds: 1
modelessAbilities: "Drone Launch (Flash Grenade)"
affectsFriendly: true
affectsEnemy: true
canTargetOccupiedGridPoint: true
canTargetUnoccupiedGridPoint: true
store_cost: 150
sorting_group: "Grenades"
