id: "pi SSC ceskascorpion"
type: ItemType_Pistol
uirep {
  icon: "icon_gun_sckmodel100"
  name: "Ceska Scorpion"
  description: "Machine Pistol, extended clip, and folding stock, RC I, SA/BF"
}
equipPrefabName: "TacticalSMG"
anim_type: AnimType_SMG
coreAttribute: Attribute_Quickness
coreSkill: Skill_RangedCombat
coreSpecialization: Specialization_RC_Pistol
apCost: 1
prereqStrings: "Player.SKILL.Skill_RangedCombat >= 1"
maxAmmo: 35
baseHPDamage: 5
baseAPDamage: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: -1
rangeModTable: -1
rangeModTable: -2
rangeModTable: -4
rangeModTable: -6
rangeModTable: -8
rangeModTable: -12
rangeModTable: -16
rangeModTable: -20
rangeModTable: -24
rangeModTable: -28
rangeModTable: -32
rangeModTable: -40
noiseLevel: 8
noiseRounds: 1
ammoReloadAPCost: 1
abilityModes: "SA"
abilityModes: "BF RC1"
affectsEnemy: true
canTargetActor: true
passiveStatusEffects {
  statMods {
    skill: Skill_DrainResistance
    intModValue: 2
  }
}
store_cost: 850
sorting_group: "SSC Pistols"
