id: "ar SSC narcojectrifle"
type: ItemType_Rifle
uirep {
  icon: "icon_gun_streetsweeper"
  name: "Narcoject Rifle"
  description: "Tranquilizer Rifle fires armor-penetrating dart, -5 move, -2 to all stats, SS"
}
equipPrefabName: "TacticalAssaultRifle"
anim_type: AnimType_Rifle
coreAttribute: Attribute_Quickness
coreSkill: Skill_RangedCombat
coreSpecialization: Specialization_RC_Rifle
apCost: 2
prereqStrings: "Player.SKILL.Skill_RangedCombat >= 1"
maxAmmo: 10
baseHPDamage: 3
baseAPDamage: 0
rangeModTable: -10
rangeModTable: -4
rangeModTable: -2
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: -1
rangeModTable: -2
rangeModTable: -3
rangeModTable: -4
rangeModTable: -8
rangeModTable: -10
rangeModTable: -12
rangeModTable: -16
rangeModTable: -20
rangeModTable: -24
rangeModTable: -28
rangeModTable: -32
rangeModTable: -38
rangeModTable: -44
rangeModTable: -51
rangeModTable: -60
noiseLevel: 5
noiseRounds: 1
ammoReloadAPCost: 1
modelessAbilities: "Narcoject SS"
affectsEnemy: true
canTargetActor: true
passiveStatusEffects {
  statMods {
    skill: Skill_DrainResistance
    intModValue: 7
  }
}
store_cost: 4800
sorting_group: "SSC Rifles"
