id: "ESP Assassinate"
type: ItemType_DeckerProgram
uirep {
  icon: "icon_assassin"
  name: "Assassinate"
  description: "A powerful attack program directed at one target for 100 IP DMG."
}
anim_type: AnimType_Spell
coreAttribute: Attribute_Intelligence
coreSkill: Skill_Decking
forceRating: 3
apCost: 1
baseHPDamage: 100
baseAPDamage: 0
rangeModTable: 10
rangeModTable: 9
rangeModTable: 8
rangeModTable: 7
rangeModTable: 6
rangeModTable: 5
rangeModTable: 4
rangeModTable: 3
rangeModTable: 2
rangeModTable: 1
rangeModTable: 0
rangeModTable: 0
rangeModTable: -1
rangeModTable: -2
rangeModTable: -3
rangeModTable: -4
rangeModTable: -5
rangeModTable: -6
rangeModTable: -7
rangeModTable: -8
noiseLevel: 8
noiseRounds: 1
modelessAbilities: "Killer 1 (Matrix)"
affectsFriendly: false
affectsEnemy: true
canTargetActor: true
canTargetOccupiedGridPoint: false
canTargetUnoccupiedGridPoint: false
cooldown: 3
isMagic: false
fxrep {
  preActionFxName: "MatrixSpellPrepare"
  actionFxName: "MatrixKillerThrowAction"
  postActionFxName: ""
  hitReactionFxName: "FireHitReaction"
  missReactionFxName: "GenericMatrixMissReaction"
}
sorting_group: "Programs"
