id: "ESP Explode 1"
type: ItemType_DeckerProgram
uirep {
  icon: "icon_exploder"
  name: "Bomb"
  description: "Explodes self. Does -75 IP DMG and on-going -25 IP DMG."
}
anim_type: AnimType_Spell
coreAttribute: Attribute_Intelligence
coreSkill: Skill_Decking
forceRating: 1
apCost: 1
baseHPDamage: 75
baseAPDamage: 0
rangeModTable: 1
rangeModTable: 1
rangeModTable: 1
effectModTable: 1
effectModTable: 1
effectModTable: 1
noiseLevel: 5
noiseRounds: 1
modelessAbilities: "Explode (Self)"
affectsFriendly: true
affectsEnemy: true
canTargetSelf: true
canTargetActor: false
canTargetOccupiedGridPoint: false
canTargetUnoccupiedGridPoint: false
isDebuff: true
cooldown: 1
isMagic: false
effectDuration: 2
fxrep {
  preActionFxName: "MatrixSpellPrepare"
  actionFxName: "MatrixCastAction"
  postActionFxName: ""
  hitReactionFxName: "MatrixDebuffHitReaction"
  missReactionFxName: "MatrixCastMissReaction"
}
activationStatusEffects {
  uirep {
    icon: "icon_exploder"
    name: "Data Burn: IP -25 per RND"
  }
  stackingCategory: "Acid"
  statMods {
    attribute: Attribute_HP
    intModValue: -25
  }
  fxScript: "AcidBurnStatus"
}
sorting_group: "Programs"
