id: "SSC Spell Distraction 3"
type: ItemType_Spell
uirep {
  icon: "icon_distraction3"
  name: "Distraction 3"
  description: "Decreases the target\'s to hit chance by 18%. Lasts for 3 RNDS."
}
anim_type: AnimType_Spell
coreAttribute: Attribute_Willpower
coreSkill: Skill_Spellcasting
forceRating: 5
apCost: 1
prereqStrings: "Player.SKILL.Skill_Spellcasting >= 4"
baseHPDamage: 0
baseAPDamage: 0
rangeModTable: 10
rangeModTable: 9
rangeModTable: 8
rangeModTable: 7
rangeModTable: 6
rangeModTable: 5
rangeModTable: 4
rangeModTable: 3
rangeModTable: 2
rangeModTable: 1
rangeModTable: 0
rangeModTable: 0
rangeModTable: -1
rangeModTable: -2
rangeModTable: -3
rangeModTable: -4
rangeModTable: -5
rangeModTable: -6
rangeModTable: -7
rangeModTable: -8
noiseLevel: 2
noiseRounds: 1
modelessAbilities: "DeBuff Spells"
affectsFriendly: false
affectsEnemy: true
canTargetActor: true
canTargetOccupiedGridPoint: false
canTargetUnoccupiedGridPoint: false
isDebuff: true
cooldown: 0
isMagic: true
effectDuration: 3
fxrep {
  preActionFxName: "GenericSpellPrepare"
  actionFxName: "GenericSpellCastAction"
  postActionFxName: ""
  hitReactionFxName: "GenericSpellDeBuffHitReaction"
  missReactionFxName: "GenericSpellMissReaction"
}
activationStatusEffects {
  uirep {
    icon: "icon_distraction3"
    name: "Distracted: Accuracy -18%"
  }
  stackingCategory: "Aim"
  statMods {
    attribute: Attribute_Accuracy
    intModValue: -18
  }
}
store_cost: 15000
sorting_group: "Spellcasting (Mage)"
