id: "SSC Spell Manabolt 3"
type: ItemType_Spell
uirep {
  icon: "icon_manabolt3"
  name: "Manabolt 3"
  description: "A powerful magical bolt that ignores normal armor and targets Willpower."
}
anim_type: AnimType_Spell
coreAttribute: Attribute_Willpower
coreSkill: Skill_Spellcasting
forceRating: 5
apCost: 1
prereqStrings: "Player.SKILL.Skill_Spellcasting >= 5"
baseHPDamage: 20
baseAPDamage: 0
rangeModTable: 10
rangeModTable: 9
rangeModTable: 8
rangeModTable: 7
rangeModTable: 6
rangeModTable: 5
rangeModTable: 4
rangeModTable: 3
rangeModTable: 2
rangeModTable: 1
rangeModTable: 0
rangeModTable: 0
rangeModTable: -1
rangeModTable: -2
rangeModTable: -3
rangeModTable: -4
rangeModTable: -5
rangeModTable: -6
rangeModTable: -7
rangeModTable: -8
noiseLevel: 6
noiseRounds: 1
modelessAbilities: "Manabolt"
affectsFriendly: false
affectsEnemy: true
canTargetActor: true
canTargetOccupiedGridPoint: false
canTargetUnoccupiedGridPoint: false
cooldown: 3
isMagic: true
fxrep {
  preActionFxName: "GenericSpellPrepare"
  actionFxName: "ManaBoltThrowAction"
  postActionFxName: ""
  hitReactionFxName: "GenericSpellHitReaction"
  missReactionFxName: "GenericSpellMissReaction"
}
store_cost: 15000
sorting_group: "Spellcasting (Mage)"
