id: "SP Spell Mind Wipe"
type: ItemType_Spell
uirep {
  icon: "icon_mindwipe"
  name: "Mind Wipe"
  description: "The target enemy forgets who to attack. Lasts 2 RNDS."
}
anim_type: AnimType_Spell
coreAttribute: Attribute_Willpower
coreSkill: Skill_Spellcasting
forceRating: 3
apCost: 2
baseHPDamage: 0
baseAPDamage: 0
rangeModTable: 10
rangeModTable: 9
rangeModTable: 8
rangeModTable: 7
rangeModTable: 6
rangeModTable: 5
rangeModTable: 4
rangeModTable: 3
rangeModTable: 2
rangeModTable: 1
rangeModTable: 0
rangeModTable: 0
rangeModTable: -1
rangeModTable: -2
rangeModTable: -3
rangeModTable: -4
rangeModTable: -5
rangeModTable: -6
rangeModTable: -7
rangeModTable: -8
noiseLevel: 2
noiseRounds: 1
modelessAbilities: "Mind Wipe"
affectsFriendly: false
affectsEnemy: true
canTargetActor: true
canTargetOccupiedGridPoint: false
canTargetUnoccupiedGridPoint: false
isDebuff: true
cooldown: 2
isMagic: true
effectDuration: 2
fxrep {
  preActionFxName: "GenericSpellPrepare"
  actionFxName: "GenericSpellCastAction"
  postActionFxName: ""
  hitReactionFxName: "GenericSpellDeBuffHitReaction"
  missReactionFxName: "GenericSpellMissReaction"
}
activationStatusEffects {
  uirep {
    icon: "icon_mindwipe"
    name: "Mind Wiped: Can\'t Find Target"
  }
  stackingCategory: "AI"
  statusConditions: Condition_MindWiped
}
store_cost: 300
sorting_group: "Spirit Powers"
