id: "Berlin_Explosive Barrel (Toxic)"
type: ItemType_Thrown
uirep {
  icon: "icon_grenade_fichettifrag"
  name: "Barrel Explode"
  description: "Toxic explosion."
  thumbnail: ""
}
equipPrefabName: ""
anim_type: AnimType_Null
coreAttribute: Attribute_Strength
coreSkill: Skill_ThrowingWeapons
coreSpecialization: Specialization_None
forceRating: 1
apCost: 2
maxAmmo: 0
baseHPDamage: 8
baseAPDamage: 0
rangeModTable: 0
effectModTable: 1
effectModTable: 0.75
effectModTable: 0.75
effectModTable: 0.5
noiseLevel: 11
noiseRounds: 1
ammoReloadAPCost: 0
spreadAngle: 0
locationMissSkew: false
modelessAbilities: "Flame (Location)"
affectsFriendly: true
affectsEnemy: true
affectsDecker: false
canTargetSelf: true
canTargetActor: false
canTargetOccupiedGridPoint: true
canTargetUnoccupiedGridPoint: true
additionalTargets: 5
isBuff: false
isDebuff: false
cooldown: 0
cooldown_category: ""
isMagic: false
effectDuration: 2
effectRadius: 0
effectOnTile: true
reloadInteraction: ""
character_sheet_id: ""
character_prefab_id: ""
character_ui_name: ""
decking_default_weapon: ""
decking_hardening: 0
decking_body: 0
decking_evasion: 0
decking_max_ip: 0
decking_max_ap: 0
decking_program_limit: 0
decking_esp_limit: 0
reactions_per_use: 0
credentials: 0
ai_priority: 0
activationStatusEffects {
  stackingCategory: "Toxic"
  statMods {
    attribute: Attribute_HP
    skill: Skill_None
    specialization: Specialization_None
    intModValue: -10
    floatModValue: 0
    damageType: VulnerabilityType_Poison
  }
  statusConditions: Condition_CoverMedium
  fxScript: "Berlin:ToxicCloudStatus"
  durationFxScript: "BurningStatusHitReaction"
  is_buff: false
  is_debuff: false
  is_totem: false
}
intended_user: IntendedUser_Player
use_on_damage: false
use_on_downed: false
use_on_death: true
use_on_revive: false
cyberware_type: CyberwareType_None
gear_bundle: ""
outfit_texture: ""
gear_prefab: ""
gear_covers_arms: false
gear_covers_hair: false
gear_covers_face: false
store_cost: 90
sorting_group: "Explosive"
is_consumable: false
damageType: VulnerabilityType_Poison
additionalTargetsPattern: TargetPatternType_Circle
additionalTargetsAtSource: true
instantAction: false
closeupCaption: ""
anim_group_override: ItemType_None
team_as_melee: false
