id: "Berlin_classs_support_wolfhound (base)"
type: ItemType_Rigger
uirep {
  icon: "icon_drone_wolfhound"
  name: "Wolfhound"
  description: "The best support drone in the biz. It will drop a grenade or medkit and even fight."
  thumbnail: ""
}
equipPrefabName: "RiggerRemote"
anim_type: AnimType_Spell
coreAttribute: Attribute_Intelligence
coreSkill: Skill_DroneControl
coreSpecialization: Specialization_None
forceRating: 4
apCost: 0
prereqStrings: "Item.CORE_SKILL >= 7"
prereqStrings: "Player.FLAG.HAS_DATAJACK == 1"
maxAmmo: 0
baseHPDamage: 0
baseAPDamage: 0
noiseLevel: 0
noiseRounds: 0
ammoReloadAPCost: 0
spreadAngle: 0
locationMissSkew: false
modelessAbilities: "RiggerDroneSpawn"
affectsFriendly: false
affectsEnemy: false
affectsDecker: false
canTargetSelf: false
canTargetActor: false
canTargetOccupiedGridPoint: false
canTargetUnoccupiedGridPoint: false
additionalTargets: -1
isBuff: false
isDebuff: false
cooldown: 0
cooldown_category: ""
isMagic: false
effectDuration: -1
effectRadius: 0
effectOnTile: false
fxrep {
  preActionFxName: ""
  actionFxName: "FragGrenadeThrowAction"
  postActionFxName: ""
  hitReactionFxName: "FireballHitReaction"
  missReactionFxName: "GunMissReaction"
}
reloadInteraction: ""
character_sheet_id: "classs_support_wolfhound (base)"
equipment_sheet_id: "Class S Support Drone Gear"
character_prefab_id: "DroneHoverWolfhound"
character_ui_name: "Wolfhound Drone"
decking_default_weapon: ""
decking_hardening: 0
decking_body: 0
decking_evasion: 0
decking_max_ip: 0
decking_max_ap: 0
decking_program_limit: 0
decking_esp_limit: 0
reactions_per_use: 0
credentials: 0
ai_priority: 0
intended_user: IntendedUser_Player
use_on_damage: false
use_on_downed: false
use_on_death: false
use_on_revive: false
cyberware_type: CyberwareType_None
gear_bundle: ""
outfit_texture: ""
gear_prefab: ""
gear_covers_arms: false
gear_covers_hair: false
gear_covers_face: false
store_cost: 3000
sorting_group: "Drones"
is_consumable: false
damageType: VulnerabilityType_Normal
additionalTargetsPattern: TargetPatternType_Normal
additionalTargetsAtSource: false
instantAction: false
closeupCaption: ""
anim_group_override: ItemType_None
team_as_melee: false
