id: "SSC classs_support_wolfhound (base)"
type: ItemType_Rigger
uirep {
  icon: "icon_drone_wolfhound"
  name: "Wolfhound"
  description: "The best support drone in the biz. It will drop a grenade, med kit and even fight."
}
equipPrefabName: "RiggerRemote"
anim_type: AnimType_Spell
coreAttribute: Attribute_Intelligence
coreSkill: Skill_DroneControl
forceRating: 4
apCost: 0
prereqStrings: "Item.CORE_SKILL >= 6"
prereqStrings: "Player.FLAG.HAS_DATAJACK == 1"
modelessAbilities: "RiggerDroneSpawn"
affectsFriendly: false
fxrep {
  preActionFxName: ""
  actionFxName: "FragGrenadeThrowAction"
  postActionFxName: ""
  hitReactionFxName: "FireballHitReaction"
  missReactionFxName: "GunMissReaction"
}
character_sheet_id: "classs_support_wolfhound (base)"
equipment_sheet_id: "Class S Support Drone Gear"
character_prefab_id: "DroneHoverWolfhound"
character_ui_name: "Wolfhound Drone"
store_cost: 60000
sorting_group: "Drones"
