id: "pi SSC streetlinespecial"
type: ItemType_Pistol
uirep {
  icon: "icon_gun_fichettisecurity500"
  name: "Streetline Special"
  description: "Hold-out pistol made out of composite materials. Concealed. SS"
}
equipPrefabName: "AresPredatorPistol"
anim_type: AnimType_Pistol
coreAttribute: Attribute_Quickness
coreSkill: Skill_RangedCombat
coreSpecialization: Specialization_RC_Pistol
apCost: 1
prereqStrings: "Player.SKILL.Skill_RangedCombat >= 1"
maxAmmo: 6
baseHPDamage: 4
baseAPDamage: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: -1
rangeModTable: -2
rangeModTable: -4
rangeModTable: -6
rangeModTable: -8
rangeModTable: -12
rangeModTable: -16
rangeModTable: -20
rangeModTable: -24
rangeModTable: -28
rangeModTable: -32
rangeModTable: -40
noiseLevel: 7
noiseRounds: 1
ammoReloadAPCost: 1
abilityModes: "Single (Pistol)"
abilityModes: "SS"
affectsEnemy: true
canTargetActor: true
passiveStatusEffects {
  statMods {
    skill: Skill_DrainResistance
    intModValue: 0
  }
}
store_cost: 300
sorting_group: "SSC Pistols"
