unique_id: "Hell Hound (Tougher)"
archetypeName: "Guard - Hunt And Destroy"
attitude: AttitudeAggressive
stats {
  body: 8
  quickness: 8
  strength: 8
  charisma: 1
  intelligence: 5
  willpower: 4
  essence: 6
  magic: 6
  reaction: 4
  hp: 70
  ap: 2
  armor: 5
  force: 4
  morale: 100
  discipline: 25
  awareness: 80
  perception: 60
  authority: 5
  protect_tether_range: 5
  move_speed: 8
  is_fearless: 1
}
skills {
  ranged_combat: 0
  close_combat: 5
  throwing_weapons: 0
  spellcasting: 6
  decking: 0
  deck_build_repair: 0
  conjuring: 0
  spirit_summoning: 0
  spirit_banishing: 0
  magic_defense: 0
  drone_control: 0
  remote_gunnery: 0
  drone_build_repair: 0
  athletics: 0
  biotech: 0
  dodge: 4
  negotiation: 0
  stealth: 0
  etiquette_corporate: 0
  etiquette_security: 0
  etiquette_gang: 0
  etiquette_paranormal: 0
  etiquette_socialite: 0
  etiquette_infected: 0
  chi_casting: 0
  etiquette_shadowrunner: 0
  etiquette_street: 0
  etiquette_academic: 0
}
specializations {
  bows: 0
  heavy_weapons: 0
  laser: 0
  pistol: 0
  rifle: 0
  shotgun: 0
  smg: 0
  clubs: 0
  edged: 0
  polearms: 0
  unarmed: 5
  whips: 0
  throwing_blades: 0
  attack_spells: 0
  manipulation_spells: 0
  social_spells: 0
  support_spells: 0
  combat_programs: 0
  defensive_programs: 0
  trap_programs: 0
  spirit_control: 0
  esp_control: 0
  drone_combat: 0
}
prefab_name: "Seattle:Creature/CreatureHellhound"
portrait {
  filename: ""
}
attackRandom: AttackStyle_AllEqual
