prefab_name: "Spirit/SpiritWater"
character_sheet_id: "Spirit Water"
equipment_sheet_id: "Spirit Water F1 Gear"
character_mod {
  stats {
    body: -4
    quickness: -5
    strength: -3
    charisma: -3
    intelligence: -3
    willpower: -3
    essence: 0
    magic: 0
    hp: 0
    ap: 0
    armor: 0
    force: -3
    morale: 0
    discipline: 0
    awareness: 0
    perception: 0
    authority: 0
    protect_tether_range: 0
    move_speed: 0
  }
  skills {
    ranged_combat: -3
    close_combat: 0
    throwing_weapons: 0
    spellcasting: -3
    decking: 0
    conjuring: -2
    spirit_summoning: 0
    drone_control: 0
    biotech: 0
    dodge: -2
    etiquette_corporate: 0
    etiquette_security: 0
    etiquette_gang: 0
    etiquette_socialite: 0
    chi_casting: 0
    etiquette_shadowrunner: 0
    etiquette_street: 0
    etiquette_academic: 0
  }
  specializations {
    pistol: -2
    rifle: 0
    shotgun: 0
    smg: 0
    edged: 0
    unarmed: 0
    spirit_control: 0
    esp_control: 0
    drone_combat: 0
  }
  archetypeName: "Player"
  attitude: AttitudeAggressive
}
hiring_type: HiringType_None
portrait {
  filename: "Generic_Spirit_Water"
}
karma: 86
hiring_cost_override: 1000
