abilityModes: "Throw (Frag Grenade)"
additionalTargets: -1
additionalTargetsAtSource: false
additionalTargetsPattern: TargetPatternType_Normal
affectsDecker: false
affectsEnemy: true
affectsFriendly: true
ai_priority: 0
ammoReloadAPCost: 0
anim_group_override: ItemType_None
anim_type: AnimType_Null
apCost: 2
baseAPDamage: 0
baseHPDamage: 16
canTargetActor: false
canTargetOccupiedGridPoint: true
canTargetSelf: false
canTargetUnoccupiedGridPoint: true
character_prefab_id: ""
character_sheet_id: ""
character_ui_name: ""
closeupCaption: ""
cooldown: 0
cooldown_category: ""
coreAttribute: Attribute_Strength
coreSkill: Skill_ThrowingWeapons
coreSpecialization: Specialization_None
credentials: 0
cyberware_type: CyberwareType_None
damageType: VulnerabilityType_Normal
decking_body: 0
decking_default_weapon: ""
decking_esp_limit: 0
decking_evasion: 0
decking_hardening: 0
decking_max_ap: 0
decking_max_ip: 0
decking_program_limit: 0
effectDuration: -1
effectModTable: 0.75
effectModTable: 0.5
effectOnTile: false
effectRadius: 0
equipPrefabName: ""
forceRating: 2
gear_bundle: ""
gear_covers_arms: false
gear_covers_face: false
gear_covers_hair: false
gear_prefab: ""
id: "Berlin_Grenade 2 (Frag)"
instantAction: false
intended_user: IntendedUser_Player
is_consumable: true
isBuff: false
isDebuff: false
isMagic: false
locationMissSkew: false
maxAmmo: 0
noiseLevel: 11
noiseRounds: 1
outfit_texture: ""
prereqStrings: "Player.RACE != RACE.CREATURE"
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
reactions_per_use: 0
reloadInteraction: ""
sorting_group: "Grenades"
spreadAngle: 0
store_cost: 125
team_as_melee: false
type: ItemType_Thrown
uirep: {
  description: "Cavalier's midline frag grenade."
  icon: "icon_grenade_cavalierfrag"
  name: "Cavalier Frag Grenade"
  thumbnail: ""
}
use_on_damage: false
use_on_death: false
use_on_downed: false
use_on_revive: false
