abilityModes: "Burst (SMG)"
additionalTargets: -1
additionalTargetsAtSource: false
additionalTargetsPattern: TargetPatternType_Normal
affectsDecker: false
affectsEnemy: true
affectsFriendly: false
ai_priority: 0
ammoReloadAPCost: 1
anim_group_override: ItemType_None
anim_type: AnimType_SMG
apCost: 1
baseAPDamage: 0
baseHPDamage: 7
canTargetActor: true
canTargetOccupiedGridPoint: false
canTargetSelf: false
canTargetUnoccupiedGridPoint: false
character_prefab_id: ""
character_sheet_id: ""
character_ui_name: ""
closeupCaption: ""
cooldown: 0
cooldown_category: ""
coreAttribute: Attribute_Quickness
coreSkill: Skill_RangedCombat
coreSpecialization: Specialization_RC_Smg
credentials: 0
cyberware_type: CyberwareType_None
damageType: VulnerabilityType_Normal
decking_body: 0
decking_default_weapon: ""
decking_esp_limit: 0
decking_evasion: 0
decking_hardening: 0
decking_max_ap: 0
decking_max_ip: 0
decking_program_limit: 0
effectDuration: -1
effectOnTile: false
effectRadius: 0
equipPrefabName: "IngramSMG"
forceRating: 0
gear_bundle: ""
gear_covers_arms: false
gear_covers_face: false
gear_covers_hair: false
gear_prefab: ""
id: "Berlin_SMG 1 Uzi III"
instantAction: false
intended_user: IntendedUser_Player
is_consumable: false
isBuff: false
isDebuff: false
isMagic: false
locationMissSkew: false
maxAmmo: 24
noiseLevel: 9
noiseRounds: 1
outfit_texture: ""
prereqStrings: "Player.SKILL.Skill_RangedCombat >= 1"
rangeModTable: 8
rangeModTable: 6
rangeModTable: 4
rangeModTable: 2
rangeModTable: 0
rangeModTable: -2
rangeModTable: -4
rangeModTable: -6
rangeModTable: -8
rangeModTable: -10
rangeModTable: -12
rangeModTable: -14
rangeModTable: -16
rangeModTable: -18
rangeModTable: -20
rangeModTable: -22
rangeModTable: -24
rangeModTable: -26
rangeModTable: -28
rangeModTable: -30
rangeModTable: -32
rangeModTable: -34
rangeModTable: -36
rangeModTable: -38
reactions_per_use: 0
reloadInteraction: ""
sorting_group: "SMGs"
spreadAngle: 0
store_cost: 600
team_as_melee: false
type: ItemType_SMG
uirep: {
  description: "SMG: The most popular submachine gun in the world."
  icon: "icon_gun_uzii111"
  name: "Uzi III"
  thumbnail: ""
}
use_on_damage: false
use_on_death: false
use_on_downed: false
use_on_revive: false
