abilityModes: "Single (Sniper Rifle)"
additionalTargets: -1
additionalTargetsAtSource: false
additionalTargetsPattern: TargetPatternType_Normal
affectsDecker: false
affectsEnemy: true
affectsFriendly: false
ai_priority: 0
ammoReloadAPCost: 1
anim_group_override: ItemType_None
anim_type: AnimType_Rifle
apCost: 1
baseAPDamage: 0
baseHPDamage: 16
canTargetActor: true
canTargetOccupiedGridPoint: false
canTargetSelf: false
canTargetUnoccupiedGridPoint: false
character_prefab_id: ""
character_sheet_id: ""
character_ui_name: ""
closeupCaption: ""
cooldown: 0
cooldown_category: ""
coreAttribute: Attribute_Quickness
coreSkill: Skill_RangedCombat
coreSpecialization: Specialization_RC_Rifle
credentials: 0
cyberware_type: CyberwareType_None
damageType: VulnerabilityType_Normal
decking_body: 0
decking_default_weapon: ""
decking_esp_limit: 0
decking_evasion: 0
decking_hardening: 0
decking_max_ap: 0
decking_max_ip: 0
decking_program_limit: 0
effectDuration: -1
effectOnTile: false
effectRadius: 0
equipPrefabName: "Berlin:MA2100_SniperRifle"
forceRating: 0
gear_bundle: ""
gear_covers_arms: false
gear_covers_face: false
gear_covers_hair: false
gear_prefab: ""
id: "Berlin_SR 1 Ruger 100-S"
instantAction: false
intended_user: IntendedUser_Player
is_consumable: false
isBuff: false
isDebuff: false
isMagic: false
locationMissSkew: false
maxAmmo: 4
noiseLevel: 9
noiseRounds: 1
outfit_texture: ""
prereqStrings: "Player.SKILL.Skill_RangedCombat >= 3"
rangeModTable: -30
rangeModTable: -28
rangeModTable: -26
rangeModTable: -24
rangeModTable: -22
rangeModTable: -20
rangeModTable: -18
rangeModTable: -16
rangeModTable: -14
rangeModTable: -12
rangeModTable: -10
rangeModTable: -8
rangeModTable: -6
rangeModTable: -4
rangeModTable: -2
rangeModTable: 0
rangeModTable: 2
rangeModTable: 4
rangeModTable: 6
rangeModTable: 8
rangeModTable: 10
rangeModTable: 12
rangeModTable: 14
rangeModTable: 16
rangeModTable: 18
rangeModTable: 20
rangeModTable: 20
rangeModTable: 20
rangeModTable: 20
rangeModTable: 20
rangeModTable: 20
rangeModTable: 20
reactions_per_use: 0
reloadInteraction: "InteractionReloadSniperRifle"
sorting_group: "Rifles"
spreadAngle: 0
store_cost: 4800
team_as_melee: false
type: ItemType_Rifle
uirep: {
  description: "Rifle: A stock sniper rifle easily found on the black market."
  icon: "icon_gun_ruger100"
  name: "Ruger 100-S"
  thumbnail: ""
}
use_on_damage: false
use_on_death: false
use_on_downed: false
use_on_revive: false

passiveStatusEffects {
	statMods {
		skill: Skill_DrainResistance
		intModValue: 10
	}
}
