additionalTargets: -1
additionalTargetsAtSource: false
additionalTargetsPattern: TargetPatternType_Normal
affectsDecker: false
affectsEnemy: false
affectsFriendly: false
ai_priority: 0
ammoReloadAPCost: 0
anim_group_override: ItemType_None
anim_type: AnimType_Spell
apCost: 0
baseAPDamage: 0
baseHPDamage: 0
canTargetActor: false
canTargetOccupiedGridPoint: false
canTargetSelf: false
canTargetUnoccupiedGridPoint: false
character_prefab_id: ""
character_sheet_id: ""
character_ui_name: ""
closeupCaption: ""
cooldown: 0
cooldown_category: ""
coreAttribute: Attribute_Willpower
coreSkill: Skill_ChiCasting
coreSpecialization: Specialization_None
credentials: 0
cyberware_type: CyberwareType_None
damageType: VulnerabilityType_Normal
decking_body: 0
decking_default_weapon: ""
decking_esp_limit: 0
decking_evasion: 0
decking_hardening: 0
decking_max_ap: 0
decking_max_ip: 0
decking_program_limit: 0
effectDuration: 4
effectOnTile: false
effectRadius: 0
equipPrefabName: ""
forceRating: 3
fxrep: {
  actionFxName: "AdeptSpellBuffAction"
  hitReactionFxName: "AdeptDefenseBuffHitReaction"
  missReactionFxName: "GenericSpellMissReaction"
  postActionFxName: ""
  preActionFxName: "GenericSpellPrepare"
}
gear_bundle: ""
gear_covers_arms: false
gear_covers_face: false
gear_covers_hair: false
gear_prefab: ""
id: "Berlin_Magic Resistance 3"
instantAction: false
intended_user: IntendedUser_Player
is_consumable: false
isBuff: true
isDebuff: false
isMagic: true
locationMissSkew: false
maxAmmo: 0
noiseLevel: 0
noiseRounds: 0
outfit_texture: ""
passiveStatusEffects: {
  durationFxScript: ""
  fxScript: "AdeptDefenseBuffStatus"
  is_buff: false
  is_debuff: false
  is_totem: false
  stackingCategory: "Cover"
  statusConditions: Condition_MagicCoverHeavy
  uirep: {
    description: ""
    icon: "icon_magicresistance3"
    name: "Resistance: Heavy Cover from Spells"
    thumbnail: ""
  }
}
prereqStrings: "Player.SKILL.Skill_ChiCasting >= 10"
reactions_per_use: 0
reloadInteraction: ""
sorting_group: "Chi Casting (Adept)"
spreadAngle: 0
store_cost: 1000
team_as_melee: false
type: ItemType_Adept
uirep: {
  description: "Passive: The adept gains a Heavy Cover bonus to magic spells."
  icon: "icon_magicresistance3"
  name: "Magic Resistance 3"
  thumbnail: ""
}
use_on_damage: false
use_on_death: false
use_on_downed: false
use_on_revive: false
