id: "SSC Spell Fog"
type: ItemType_Shaman
uirep {
	icon: "icon_fogB"
	name: "Fog"
	description: "An area effect spell that reduces the chance to target someone by 15%. Lasts for 3 RNDS."
}

anim_type: AnimType_Spell
coreAttribute: Attribute_Charisma
coreSkill: Skill_Conjuring
forceRating: 4
apCost: 2
modelessAbilities: "Cast AOE Buffs"
baseHPDamage: 0
baseAPDamage: 0
rangeModTable: 10
rangeModTable: 9
rangeModTable: 8
rangeModTable: 7
rangeModTable: 6
rangeModTable: 5
rangeModTable: 4
rangeModTable: 3
rangeModTable: 2
rangeModTable: 1
rangeModTable: 0
rangeModTable: 0
rangeModTable: -1
rangeModTable: -2
rangeModTable: -3
rangeModTable: -4
rangeModTable: -5
rangeModTable: -6
rangeModTable: -7
rangeModTable: -8
noiseLevel: 1
noiseRounds: 1
affectsEnemy: true
affectsFriendly: true
canTargetOccupiedGridPoint: true
canTargetUnoccupiedGridPoint: true
cooldown: 2
isMagic: true
effectDuration: 3
effectRadius: 3
effectOnTile: true
activationStatusEffects {
	uirep {
		icon: "icon_fogB"
		name: "Fog: Accuracy -15%"
	}
	fxScript: "FogAOE"
	statusConditions: Condition_HalfVisibility
	}
fxrep{
	preActionFxName: "GenericSpellPrepare"
	actionFxName: "GenericSpellCastAction"
	postActionFxName: ""
	hitReactionFxName: "GenericSpellHitReaction"
	missReactionFxName: "GenericSpellMissReaction"
}
store_cost: 10000
prereqStrings: "Player.SKILL.Skill_Conjuring >= 3"
sorting_group: "Conjuring (Shaman)"
