id: "SSC DroneRepairKit_med"
type: ItemType_Consumable
uirep {
  icon: "icon_dronerepairkit2"
  name: "Advanced Drone Repair Kit"
  description: "An advanced drone repair kit that repairs a minimum of 20 HP."
}
coreAttribute: Attribute_Intelligence
coreSkill: Skill_DroneControl
apCost: 1
maxAmmo: 0
baseHPDamage: 20
baseAPDamage: 0
rangeModTable: 0
noiseLevel: 0
noiseRounds: 0
modelessAbilities: "Repair"
affectsFriendly: true
canTargetSelf: false
canTargetActor: true
store_cost: 400
sorting_group: "Drones"
