id: "SSC Grenade (Smoke)"
type: ItemType_Thrown
uirep {
  icon: "icon_grenade_smoke"
  name: "Smoke Grenade"
  description: "Creates smoke that reduces to hit by 15%. Lasts for 3 RNDS."
}
coreAttribute: Attribute_Strength
coreSkill: Skill_ThrowingWeapons
forceRating: 2
apCost: 2
prereqStrings: "Player.RACE != RACE.CREATURE"
maxAmmo: 0
baseHPDamage: 0
baseAPDamage: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
effectModTable: 0.75
effectModTable: 0.5
noiseLevel: 6
noiseRounds: 1
abilityModes: "Throw (Smoke Grenade)"
affectsFriendly: true
affectsEnemy: true
canTargetOccupiedGridPoint: true
canTargetUnoccupiedGridPoint: true
isMagic: true
effectDuration: 3
effectRadius: 3
effectOnTile: true
fxrep {
  preActionFxName: ""
  actionFxName: ""
  postActionFxName: ""
  hitReactionFxName: ""
  missReactionFxName: "GunMissReaction"
}
activationStatusEffects {
  statusConditions: Condition_HalfVisibility
  fxScript: "FogAOE"
}
store_cost: 375
sorting_group: "Grenades"
is_consumable: true
