id: "SSC Grenade 1 (Frag)"
type: ItemType_Thrown
uirep {
  icon: "icon_grenade_fichettifrag"
  name: "Fichetti Frag Grenade"
  description: "Fichetti's basic frag grenade."
}
coreAttribute: Attribute_Strength
coreSkill: Skill_ThrowingWeapons
forceRating: 1
apCost: 2
prereqStrings: "Player.RACE != RACE.CREATURE"
maxAmmo: 0
baseHPDamage: 12
baseAPDamage: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
effectModTable: 0.75
effectModTable: 0.5
noiseLevel: 11
noiseRounds: 1
abilityModes: "Throw (Frag Grenade)"
affectsFriendly: true
affectsEnemy: true
canTargetOccupiedGridPoint: true
canTargetUnoccupiedGridPoint: true
store_cost: 450
sorting_group: "Grenades"
is_consumable: true
