id: "pi SSC BASEHOLDOUTPISTOL"
type: ItemType_Pistol
uirep {
  icon: "icon_gun_ceskablackscorpion"
  name: "BASE HOLDOUT PISTOL"
  description: "BASE HOLDOUT PISTOL SS"
}
equipPrefabName: "AresPredatorPistol"
anim_type: AnimType_Pistol
coreAttribute: Attribute_Quickness
coreSkill: Skill_RangedCombat
coreSpecialization: Specialization_RC_Pistol
apCost: 1
prereqStrings: "Player.SKILL.Skill_RangedCombat >= 1"
maxAmmo: 4
baseHPDamage: 4
baseAPDamage: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: -1
rangeModTable: -2
rangeModTable: -4
rangeModTable: -6
rangeModTable: -8
rangeModTable: -12
rangeModTable: -16
rangeModTable: -20
rangeModTable: -24
rangeModTable: -28
rangeModTable: -32
rangeModTable: -40

noiseLevel: 7
noiseRounds: 1
ammoReloadAPCost: 1
abilityModes: "SS"
affectsEnemy: true
canTargetActor: true
store_cost: 450
sorting_group: "SSC Pistols"
