id: "pi SSC BASELIGHTPISTOL"
type: ItemType_Pistol
uirep {
  icon: "icon_gun_fichettisecurity500"
  name: "BASE LIGHT PISTOL"
  description: "BASE LIGHT PISTOL NO MODS SA"
}
equipPrefabName: "AresPredatorPistol"
anim_type: AnimType_Pistol
coreAttribute: Attribute_Quickness
coreSkill: Skill_RangedCombat
coreSpecialization: Specialization_RC_Pistol
apCost: 1
prereqStrings: "Player.SKILL.Skill_RangedCombat >= 1"
maxAmmo: 16
baseHPDamage: 6
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: -1
rangeModTable: -1
rangeModTable: -2
rangeModTable: -4
rangeModTable: -6
rangeModTable: -8
rangeModTable: -12
rangeModTable: -16
rangeModTable: -20
rangeModTable: -24
rangeModTable: -28
rangeModTable: -32
rangeModTable: -40

noiseLevel: 8
noiseRounds: 1
ammoReloadAPCost: 1
abilityModes: "SA"
affectsEnemy: true
canTargetActor: true
store_cost: 475
sorting_group: "SSC Pistols"
