id: "pi SSC BASEMACHINEPISTOL"
type: ItemType_Pistol
uirep {
  icon: "icon_gun_sckmodel100"
  name: "BASE MACHINE PISTOL"
  description: "EXAMPLE MACHINE PISTOL NO MODS SA/BF"
}
equipPrefabName: "TacticalSMG"
anim_type: AnimType_SMG
coreAttribute: Attribute_Quickness
coreSkill: Skill_RangedCombat
coreSpecialization: Specialization_RC_Pistol
apCost: 1
prereqStrings: "Player.SKILL.Skill_RangedCombat >= 1"
maxAmmo: 20
baseHPDamage: 5
baseAPDamage: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: -1
rangeModTable: -1
rangeModTable: -2
rangeModTable: -4
rangeModTable: -6
rangeModTable: -8
rangeModTable: -12
rangeModTable: -16
rangeModTable: -20
rangeModTable: -24
rangeModTable: -28
rangeModTable: -32
rangeModTable: -40


noiseLevel: 8
noiseRounds: 1
ammoReloadAPCost: 1
abilityModes: "SA"
abilityModes: "BF"
affectsEnemy: true
canTargetActor: true
store_cost: 950
sorting_group: "SSC Pistols"
