id: "pi SSC areslightfire70sil"
type: ItemType_Pistol
uirep {
  icon: "icon_gun_fichettisecurity500"
  name: "Ares Light Fire 70 (Silenced)"
  description: "Light Pistol with a silencer, SA"
}
equipPrefabName: "AresPredatorPistol"
anim_type: AnimType_Pistol
coreAttribute: Attribute_Quickness
coreSkill: Skill_RangedCombat
coreSpecialization: Specialization_RC_Pistol
apCost: 1
prereqStrings: "Player.SKILL.Skill_RangedCombat >= 1"
maxAmmo: 16
baseHPDamage: 5
rangeModTable: -1
rangeModTable: -1
rangeModTable: -1
rangeModTable: -2
rangeModTable: -2
rangeModTable: -3
rangeModTable: -5
rangeModTable: -7
rangeModTable: -9
rangeModTable: -13
rangeModTable: -17
rangeModTable: -21
rangeModTable: -25
rangeModTable: -29
rangeModTable: -33
rangeModTable: -41


passiveStatusEffects {
	statMods {
		skill: Skill_DrainResistance
		intModValue: 2
	}
}

noiseLevel: 2
noiseRounds: 1
ammoReloadAPCost: 1
abilityModes: "Silenced SA"
affectsEnemy: true
canTargetActor: true
store_cost: 650
sorting_group: "SSC Pistols"
