id: "ar SSC m107gphmg"
type: ItemType_Rifle
uirep {
  icon: "icon_gun_enfieldas7"
  name: "M107 GPHMG"
  description: "Heavy Machine Gun. Heh. Laser sight, RC 3, FA"
}
equipPrefabName: "TacticalAssaultRifle"
anim_type: AnimType_Rifle
coreAttribute: Attribute_Quickness
coreSkill: Skill_RangedCombat
coreSpecialization: Specialization_RC_Rifle
apCost: 1
prereqStrings: "Player.SKILL.Skill_RangedCombat >= 1"
maxAmmo: 40
baseHPDamage: 16
baseAPDamage: 0
rangeModTable: -6
rangeModTable: 0
rangeModTable: 5
rangeModTable: 5
rangeModTable: 4
rangeModTable: 3
rangeModTable: 1
rangeModTable: -1
rangeModTable: -2
rangeModTable: -5
rangeModTable: -8
rangeModTable: -10
rangeModTable: -12
rangeModTable: -14
rangeModTable: -16
rangeModTable: -20
rangeModTable: -26
rangeModTable: -30
rangeModTable: -38
rangeModTable: -46

passiveStatusEffects {
	statMods {
		skill: Skill_DrainResistance
		intModValue: 11
	}
}

noiseLevel: 12
noiseRounds: 1
ammoReloadAPCost: 2
abilityModes: "Single (Rifle)"
abilityModes: "Burst (Rifle)"
abilityModes: "Auto (Rifle)"
abilityModes: "SS SA"
affectsEnemy: true
canTargetActor: true
store_cost: 15600
sorting_group: "SSC Rifles"
