id: "smg SSC sandlertmp"
type: ItemType_SMG
uirep {
  icon: "icon_gun_ingramsmartgun"
  name: "Sandler TMP"
  description: "Budget SMG with folding stock. RC1, BF/FA"
}
equipPrefabName: "TacticalSMG"
anim_type: AnimType_SMG
coreAttribute: Attribute_Quickness
coreSkill: Skill_RangedCombat
coreSpecialization: Specialization_RC_Smg
apCost: 1
prereqStrings: "Player.SKILL.Skill_RangedCombat >= 1"
maxAmmo: 20
baseHPDamage: 8
baseAPDamage: 0
rangeModTable: -1
rangeModTable: -1
rangeModTable: -1
rangeModTable: -1
rangeModTable: -1
rangeModTable: -2
rangeModTable: -2
rangeModTable: -3
rangeModTable: -4
rangeModTable: -6
rangeModTable: -8
rangeModTable: -12
rangeModTable: -16
rangeModTable: -20
rangeModTable: -24
rangeModTable: -28
rangeModTable: -32
rangeModTable: -40

passiveStatusEffects {
	statMods {
		skill: Skill_DrainResistance
		intModValue: 5
	}
}

noiseLevel: 9
noiseRounds: 1
ammoReloadAPCost: 1
abilityModes: "Burst (SMG)"
abilityModes: "SS"
affectsEnemy: true
canTargetActor: true
store_cost: 1500
sorting_group: "SSC SMGs"
