id: "sh SSC enfieldas-7"
type: ItemType_Shotgun
uirep {
  icon: "icon_gun_enfieldas7"
  name: "Enfield AS-7"
  description: "Combat shotgun with a laser sight for +5% accuracy and 50-round drum. SA/BF"
}
equipPrefabName: "TacticalShotgun"
anim_type: AnimType_Shotgun
coreAttribute: Attribute_Quickness
coreSkill: Skill_RangedCombat
coreSpecialization: Specialization_RC_Shotgun
apCost: 1
prereqStrings: "Player.SKILL.Skill_RangedCombat >= 1"
maxAmmo: 50
baseHPDamage: 14
rangeModTable: 5
rangeModTable: 5
rangeModTable: 5
rangeModTable: 5
rangeModTable: 4
rangeModTable: 3
rangeModTable: 2
rangeModTable: 1
rangeModTable: -1
rangeModTable: -4
rangeModTable: -9
rangeModTable: -13
rangeModTable: -17
rangeModTable: -21
rangeModTable: -25
rangeModTable: -29
rangeModTable: -37

passiveStatusEffects {
	statMods {
		skill: Skill_DrainResistance
		intModValue: 6
	}
}


effectModTable: 0.75
effectModTable: 0.5
effectModTable: 0.5
effectModTable: 0.5
effectModTable: 0.5
effectModTable: 0.25

spreadAngle: 9.49

noiseLevel: 12
noiseRounds: 1
ammoReloadAPCost: 2
abilityModes: "Single (Shotgun)"
modelessAbilities: "Shoot (Shotgun Burst)"
abilityModes: "SS SG"
affectsEnemy: true
canTargetActor: true
store_cost: 5400
sorting_group: "SSC Shotguns"
