abilityModes: "Thrown Blade"
additionalTargets: -1
additionalTargetsAtSource: false
additionalTargetsPattern: TargetPatternType_Normal
affectsDecker: false
affectsEnemy: true
affectsFriendly: false
ai_priority: 0
ammoReloadAPCost: 1
anim_group_override: ItemType_None
anim_type: AnimType_Unarmed
apCost: 1
baseAPDamage: -1
baseHPDamage: 6
canTargetActor: true
canTargetOccupiedGridPoint: false
canTargetSelf: false
canTargetUnoccupiedGridPoint: false
character_prefab_id: ""
character_sheet_id: ""
character_ui_name: ""
closeupCaption: ""
cooldown: 0
cooldown_category: ""
coreAttribute: Attribute_Strength
coreSkill: Skill_ThrowingWeapons
coreSpecialization: Specialization_None
credentials: 0
cyberware_type: CyberwareType_None
damageType: VulnerabilityType_Normal
decking_body: 0
decking_default_weapon: ""
decking_esp_limit: 0
decking_evasion: 0
decking_hardening: 0
decking_max_ap: 0
decking_max_ip: 0
decking_program_limit: 0
effectDuration: -1
effectOnTile: false
effectRadius: 0
equipPrefabName: ""
forceRating: 0
gear_bundle: ""
gear_covers_arms: false
gear_covers_face: false
gear_covers_hair: false
gear_prefab: ""
id: "Berlin_Tb 2 Shuriken"
instantAction: false
intended_user: IntendedUser_Player
is_consumable: false
isBuff: false
isDebuff: false
isMagic: false
locationMissSkew: false
maxAmmo: 0
noiseLevel: 2
noiseRounds: 1
outfit_texture: ""
rangeModTable: 8
rangeModTable: 7
rangeModTable: 6
rangeModTable: 5
rangeModTable: 4
rangeModTable: 3
rangeModTable: 2
rangeModTable: 0
rangeModTable: -2
rangeModTable: -4
rangeModTable: -6
rangeModTable: -8
rangeModTable: -10
rangeModTable: -12
rangeModTable: -14
reactions_per_use: 0
reloadInteraction: ""
sorting_group: "Pistols"
spreadAngle: 0
store_cost: 1800
team_as_melee: false
type: ItemType_Unarmed
uirep: {
  description: "Low tech opens up so many possibilities. May do additional AP DMG."
  icon: "icon_thrown_shuriken"
  name: "Shuriken"
  thumbnail: ""
}
use_on_damage: false
use_on_death: false
use_on_downed: false
use_on_revive: false
