id: "SSC PR Sniffer 2"
type: ItemType_DeckerProgram
uirep {
  icon: "icon_sniffer2"
  name: "Sniffer Lvl 2"
  description: "Increases your chance to hit vs enemy IC and deckers by 20% for 3 RNDS."
}
anim_type: AnimType_Spell
coreAttribute: Attribute_Intelligence
coreSkill: Skill_Decking
forceRating: 3
apCost: 1
prereqStrings: "Player.SKILL.Skill_Decking >= 1"
baseHPDamage: 0
baseAPDamage: 0
rangeModTable: 10
rangeModTable: 9
rangeModTable: 8
rangeModTable: 7
rangeModTable: 6
rangeModTable: 5
rangeModTable: 4
rangeModTable: 3
rangeModTable: 2
rangeModTable: 1
rangeModTable: 0
rangeModTable: 0
rangeModTable: -1
rangeModTable: -2
rangeModTable: -3
rangeModTable: -4
rangeModTable: -5
rangeModTable: -6
rangeModTable: -7
rangeModTable: -8
noiseLevel: 0
noiseRounds: 0
modelessAbilities: "Buff Programs"
affectsFriendly: true
affectsEnemy: false
canTargetSelf: true
canTargetActor: true
canTargetOccupiedGridPoint: false
canTargetUnoccupiedGridPoint: false
isBuff: true
cooldown: 0
isMagic: false
effectDuration: 3
fxrep {
  preActionFxName: "MatrixSpellPrepare"
  actionFxName: "MatrixCastAction"
  postActionFxName: ""
  hitReactionFxName: "MatrixBuffHitReaction"
  missReactionFxName: "MatrixCastMissReaction"
}
activationStatusEffects {
uirep {
    icon: "icon_sniffer"
    name: "Sniffer: Accuracy +20%"
  }
  stackingCategory: "Aim"
  statMods {
    attribute: Attribute_Accuracy
    intModValue: 20
  }
}
store_cost: 3000
sorting_group: "Programs"
