id: "SP Hydro Daggers"
type: ItemType_Pistol
uirep {
  icon: "icon_spiritranged"
  name: "Hydro Daggers"
  description: "A powerful shot of water."
}
anim_type: AnimType_Null
coreAttribute: Attribute_Quickness
coreSkill: Skill_RangedCombat
coreSpecialization: Specialization_RC_Pistol
apCost: 1
maxAmmo: 0
baseHPDamage: 4
baseAPDamage: 0
rangeModTable: 8
rangeModTable: 8
rangeModTable: 8
rangeModTable: 6
rangeModTable: 4
rangeModTable: 2
rangeModTable: 0
rangeModTable: -2
rangeModTable: -4
rangeModTable: -6
rangeModTable: -8
rangeModTable: -10
rangeModTable: -12
rangeModTable: -14
rangeModTable: -16
rangeModTable: -18
rangeModTable: -20
rangeModTable: -22
rangeModTable: -24
noiseLevel: 4
noiseRounds: 1
abilityModes: "Spirit Hydro Daggers"
affectsEnemy: true
canTargetActor: true
sorting_group: "Spirit Powers"
