id: "ar SSC czechvz88v"
type: ItemType_Rifle
uirep {
  icon: "icon_gun_hecklerkochg12a3z"
  name: "Czech vz 88 v"
  description: "Assault Rifle, laser sight, gas vent, stock, and imaging scope. RC 3, SA/BF/FA"
}
equipPrefabName: "TacticalAssaultRifle"
anim_type: AnimType_Rifle
coreAttribute: Attribute_Quickness
coreSkill: Skill_RangedCombat
coreSpecialization: Specialization_RC_Rifle
apCost: 1
prereqStrings: "Player.SKILL.Skill_RangedCombat >= 1"
maxAmmo: 35
baseHPDamage: 11
baseAPDamage: 0
rangeModTable: -4
rangeModTable: 5
rangeModTable: 5
rangeModTable: 5
rangeModTable: 5
rangeModTable: 4
rangeModTable: 4
rangeModTable: 4
rangeModTable: 4
rangeModTable: 3
rangeModTable: 2
rangeModTable: -1
rangeModTable: -4
rangeModTable: -8
rangeModTable: -10
rangeModTable: -12
rangeModTable: -14
rangeModTable: -16
rangeModTable: -20
rangeModTable: -23
rangeModTable: -26
rangeModTable: -30
rangeModTable: -38
rangeModTable: -46
noiseLevel: 9
noiseRounds: 1
ammoReloadAPCost: 1
abilityModes: "SA"
abilityModes: "BF RC3"
abilityModes: "FA RC3"
affectsEnemy: true
canTargetActor: true
passiveStatusEffects {
  statMods {
    skill: Skill_DrainResistance
    intModValue: 9
  }
}
store_cost: 4800
sorting_group: "SSC Rifles"
