id: "ar SSC fn-har"
type: ItemType_Rifle
uirep {
  icon: "icon_gun_hecklerkochg12a3z"
  name: "FN-HAR"
  description: "Assault Rifle, laser sight, gas vent, and folding stock. RC 3, SA/BF/FA"
}
equipPrefabName: "TacticalAssaultRifle"
anim_type: AnimType_Rifle
coreAttribute: Attribute_Quickness
coreSkill: Skill_RangedCombat
coreSpecialization: Specialization_RC_Rifle
apCost: 1
prereqStrings: "Player.SKILL.Skill_RangedCombat >= 1"
maxAmmo: 35
baseHPDamage: 10
baseAPDamage: 0
rangeModTable: -4
rangeModTable: 5
rangeModTable: 5
rangeModTable: 5
rangeModTable: 5
rangeModTable: 4
rangeModTable: 4
rangeModTable: 4
rangeModTable: 3
rangeModTable: 2
rangeModTable: 1
rangeModTable: -1
rangeModTable: -4
rangeModTable: -7
rangeModTable: -9
rangeModTable: -11
rangeModTable: -13
rangeModTable: -17
rangeModTable: -26
rangeModTable: -30
rangeModTable: -38
rangeModTable: -46
noiseLevel: 9
noiseRounds: 1
ammoReloadAPCost: 1
abilityModes: "Single (Rifle)"
abilityModes: "Burst (Rifle)"
abilityModes: "Auto (Rifle)"
abilityModes: "SS SA"
affectsEnemy: true
canTargetActor: true
passiveStatusEffects {
  statMods {
    skill: Skill_DrainResistance
    intModValue: 9
  }
}
store_cost: 5200
sorting_group: "SSC Rifles"
