id: "ar SSC waltherma2100"
type: ItemType_Rifle
uirep {
  icon: "icon_gun_defiancet250"
  name: "Walther MA 2100"
  description: "Military sniper rifle. Highly accurate at long ranges. Requires Smartlink to operate. SA"
}
equipPrefabName: "TacticalAssaultRifle"
anim_type: AnimType_Rifle
coreAttribute: Attribute_Quickness
coreSkill: Skill_RangedCombat
coreSpecialization: Specialization_RC_Rifle
apCost: 1
prereqStrings: "Player.SKILL.Skill_RangedCombat >= 1"
prereqStrings: "Player.FLAG.HAS_DATAJACK == 1"
maxAmmo: 8
baseHPDamage: 26
baseAPDamage: 0
rangeModTable: -10
rangeModTable: -4
rangeModTable: -2
rangeModTable: 0
rangeModTable: 5
rangeModTable: 10
rangeModTable: 10
rangeModTable: 10
rangeModTable: 10
rangeModTable: 9
rangeModTable: 9
rangeModTable: 8
rangeModTable: 6
rangeModTable: 6
rangeModTable: 0
rangeModTable: -3
rangeModTable: -6
rangeModTable: -9
rangeModTable: -11
rangeModTable: -15
rangeModTable: -19
rangeModTable: -23
rangeModTable: -27
rangeModTable: -33
rangeModTable: -39
rangeModTable: -46
rangeModTable: -55
noiseLevel: 12
noiseRounds: 1
ammoReloadAPCost: 2
abilityModes: "SA"
affectsEnemy: true
canTargetActor: true
passiveStatusEffects {
  statMods {
    skill: Skill_DrainResistance
    intModValue: 11
  }
}
store_cost: 19500
sorting_group: "SSC Rifles"
