id: "Berlin_Ghoul Low Melee"
type: ItemType_Unarmed
uirep {
  icon: "icon_melee"
  name: "Poisoned Ghoul Fist"
  description: "A poison fist that does DMG and then causes -2 HP for 1 RND."
  thumbnail: ""
}
equipPrefabName: ""
anim_type: AnimType_Unarmed
coreAttribute: Attribute_Strength
coreSkill: Skill_CloseCombat
coreSpecialization: Specialization_CC_Unarmed
forceRating: 0
apCost: 1
maxAmmo: 0
baseHPDamage: 0
baseAPDamage: 0
rangeModTable: 2
noiseLevel: 0
noiseRounds: 0
ammoReloadAPCost: 0
spreadAngle: 0
locationMissSkew: false
modelessAbilities: "GhoulPunch(default)"
affectsFriendly: false
affectsEnemy: true
affectsDecker: false
canTargetSelf: false
canTargetActor: true
canTargetOccupiedGridPoint: false
canTargetUnoccupiedGridPoint: false
additionalTargets: -1
isBuff: false
isDebuff: false
cooldown: 0
cooldown_category: ""
isMagic: false
effectDuration: 1
effectRadius: 0
effectOnTile: false
reloadInteraction: ""
character_sheet_id: ""
character_prefab_id: ""
character_ui_name: ""
decking_default_weapon: ""
decking_hardening: 0
decking_body: 0
decking_evasion: 0
decking_max_ip: 0
decking_max_ap: 0
decking_program_limit: 0
decking_esp_limit: 0
reactions_per_use: 0
credentials: 0
ai_priority: 0
activationStatusEffects {
  uirep {
    icon: "icon_melee"
    name: "Infection: HP -2 per RND"
    description: ""
    thumbnail: ""
  }
  stackingCategory: "Acid"
  statMods {
    attribute: Attribute_HP
    skill: Skill_None
    specialization: Specialization_None
    intModValue: -2
    floatModValue: 0
    damageType: VulnerabilityType_Normal
  }
  fxScript: "AcidBurnStatus"
  durationFxScript: ""
  is_buff: false
  is_debuff: false
  is_totem: false
}
intended_user: IntendedUser_Player
use_on_damage: false
use_on_downed: false
use_on_death: false
use_on_revive: false
cyberware_type: CyberwareType_None
gear_bundle: ""
outfit_texture: ""
gear_prefab: ""
gear_covers_arms: false
gear_covers_hair: false
gear_covers_face: false
store_cost: -1
sorting_group: "Critter Powers"
is_consumable: false
damageType: VulnerabilityType_Normal
additionalTargetsPattern: TargetPatternType_Normal
additionalTargetsAtSource: false
instantAction: false
closeupCaption: ""
anim_group_override: ItemType_None
team_as_melee: false
