id: "Berlin_ESP Kamikaze"
type: ItemType_DeckerESP
uirep {
  icon: "icon_exploder"
  name: "Execute Exploder ESP"
  description: "Creates an Exploder Expert System Program."
  thumbnail: ""
}
equipPrefabName: ""
anim_type: AnimType_Spell
coreAttribute: Attribute_Intelligence
coreSkill: Skill_Decking
coreSpecialization: Specialization_DK_ESP_Control
forceRating: 6
apCost: 0
prereqStrings: "Player.SKILL.Skill_Decking >= 1"
maxAmmo: 0
baseHPDamage: 0
baseAPDamage: 0
rangeModTable: 1
rangeModTable: 1
noiseLevel: 0
noiseRounds: 0
ammoReloadAPCost: 0
spreadAngle: 0
locationMissSkew: false
modelessAbilities: "SummonESP"
affectsFriendly: true
affectsEnemy: false
affectsDecker: false
canTargetSelf: true
canTargetActor: false
canTargetOccupiedGridPoint: false
canTargetUnoccupiedGridPoint: true
additionalTargets: -1
isBuff: false
isDebuff: false
cooldown: 0
cooldown_category: ""
isMagic: true
effectDuration: -1
effectRadius: 0
effectOnTile: false
fxrep {
  preActionFxName: ""
  actionFxName: "ESPSummonAction"
  postActionFxName: ""
  hitReactionFxName: "GenericEmptyReaction"
  missReactionFxName: "GunMissReaction"
}
reloadInteraction: ""
character_sheet_id: "ESP Kamikaze"
equipment_sheet_id: "ESP Kamikaze F$ Gear"
character_prefab_id: "SpiritESPKamikaze"
character_ui_name: "Exploder Program"
decking_default_weapon: ""
decking_hardening: 0
decking_body: 0
decking_evasion: 0
decking_max_ip: 0
decking_max_ap: 0
decking_program_limit: 0
decking_esp_limit: 0
reactions_per_use: 0
credentials: 0
ai_priority: 0
intended_user: IntendedUser_Player
use_on_damage: false
use_on_downed: false
use_on_death: false
use_on_revive: false
cyberware_type: CyberwareType_None
gear_bundle: ""
outfit_texture: ""
gear_prefab: ""
gear_covers_arms: false
gear_covers_hair: false
gear_covers_face: false
store_cost: 750
sorting_group: "ESPs"
is_consumable: false
damageType: VulnerabilityType_Normal
additionalTargetsPattern: TargetPatternType_Normal
additionalTargetsAtSource: false
instantAction: false
closeupCaption: ""
anim_group_override: ItemType_None
team_as_melee: false
