id: "Berlin_IdolWildHuntsman"
type: ItemType_ShamanTotem
uirep {
  icon: "icon_wildhuntsmanidol"
  name: "Wild Huntsman Idol"
  description: "The Huntsman grants all friends within three tiles DMG +4, but reduces accuracy by -10%. Lasts 3 RNDS."
  thumbnail: ""
}
equipPrefabName: ""
anim_type: AnimType_Spell
coreAttribute: Attribute_Charisma
coreSkill: Skill_Conjuring
coreSpecialization: Specialization_None
forceRating: 1
apCost: 1
maxAmmo: 0
baseHPDamage: 0
baseAPDamage: 0
noiseLevel: 5
noiseRounds: 1
ammoReloadAPCost: 0
spreadAngle: 0
locationMissSkew: false
modelessAbilities: "Totem Buff"
affectsFriendly: true
affectsEnemy: false
affectsDecker: false
canTargetSelf: true
canTargetActor: false
canTargetOccupiedGridPoint: false
canTargetUnoccupiedGridPoint: false
additionalTargets: -1
isBuff: true
isDebuff: false
cooldown: 1
cooldown_category: ""
isMagic: true
effectDuration: 3
effectRadius: 3
effectOnTile: false
fxrep {
  preActionFxName: "GenericSpellPrepare"
  actionFxName: "Berlin:WildHuntsmanTotemCastAction"
  postActionFxName: ""
  hitReactionFxName: "GenericSpellDeBuffHitReaction"
  missReactionFxName: "GenericSpellMissReaction"
}
reloadInteraction: ""
character_sheet_id: ""
character_prefab_id: ""
character_ui_name: ""
decking_default_weapon: ""
decking_hardening: 0
decking_body: 0
decking_evasion: 0
decking_max_ip: 0
decking_max_ap: 0
decking_program_limit: 0
decking_esp_limit: 0
reactions_per_use: 0
credentials: 0
ai_priority: 0
activationStatusEffects {
  uirep {
    icon: "icon_wildhuntsmanidol"
    name: "Wild Huntsman: DMG +4, Accuracy -10%"
    description: ""
    thumbnail: ""
  }
  stackingCategory: "Huntsman"
  statMods {
    attribute: Attribute_Damage_Mod
    skill: Skill_None
    specialization: Specialization_None
    intModValue: 4
    floatModValue: 0
    damageType: VulnerabilityType_Normal
  }
  statMods {
    attribute: Attribute_Accuracy_Reduction_Mod
    skill: Skill_None
    specialization: Specialization_None
    intModValue: 10
    floatModValue: 0
    damageType: VulnerabilityType_Normal
  }
  fxScript: "GenericSpellAOE"
  durationFxScript: ""
  is_buff: true
  is_debuff: false
  is_totem: false
}
intended_user: IntendedUser_Player
use_on_damage: false
use_on_downed: false
use_on_death: false
use_on_revive: false
cyberware_type: CyberwareType_None
gear_bundle: ""
outfit_texture: ""
gear_prefab: ""
gear_covers_arms: false
gear_covers_hair: false
gear_covers_face: false
store_cost: -1
sorting_group: "Totems"
is_consumable: false
damageType: VulnerabilityType_Normal
additionalTargetsPattern: TargetPatternType_Normal
additionalTargetsAtSource: false
instantAction: false
closeupCaption: ""
anim_group_override: ItemType_None
team_as_melee: false
