id: "Berlin_Auto-Injector (Hyper)"
type: ItemType_Cyberware
uirep {
  icon: "icon_cyber_arm_autoinjector"
  name: "Auto-Injector (Hyper)"
  description: "When triggered, Accuracy is increased by 6%, and incoming DMG is increased by 3 for 3 RNDS of combat."
  thumbnail: ""
}
equipPrefabName: ""
anim_type: AnimType_Spell
coreAttribute: Attribute_None
coreSkill: Skill_None
coreSpecialization: Specialization_None
forceRating: 0
apCost: 0
maxAmmo: 0
baseHPDamage: 0
baseAPDamage: 0
noiseLevel: 0
noiseRounds: 0
ammoReloadAPCost: 0
spreadAngle: 0
locationMissSkew: false
modelessAbilities: "Activate Auto-Injector (Hyper)"
affectsFriendly: false
affectsEnemy: false
affectsDecker: false
canTargetSelf: true
canTargetActor: false
canTargetOccupiedGridPoint: false
canTargetUnoccupiedGridPoint: false
additionalTargets: -1
isBuff: true
isDebuff: false
cooldown: 8
cooldown_category: ""
isMagic: false
effectDuration: 3
effectRadius: 0
effectOnTile: false
fxrep {
  preActionFxName: "GenericSpellPrepare"
  actionFxName: "Berlin:CyberwareInjectorAction"
  postActionFxName: ""
  hitReactionFxName: "GenericEmptyReaction"
  missReactionFxName: "GenericSpellMissReaction"
}
reloadInteraction: ""
character_sheet_id: ""
character_prefab_id: ""
character_ui_name: ""
decking_default_weapon: ""
decking_hardening: 0
decking_body: 0
decking_evasion: 0
decking_max_ip: 0
decking_max_ap: 0
decking_program_limit: 0
decking_esp_limit: 0
reactions_per_use: 0
credentials: 0
ai_priority: 0
activationStatusEffects {
  uirep {
    icon: "icon_nitro"
    name: "Hyper: Accuracy +6%, Incoming DMG +3"
    description: ""
    thumbnail: ""
  }
  stackingCategory: "Hyper"
  statMods {
    attribute: Attribute_Damage_Reduction_Mod
    skill: Skill_None
    specialization: Specialization_None
    intModValue: -3
    floatModValue: 0
    damageType: VulnerabilityType_Normal
  }
  statMods {
    attribute: Attribute_Accuracy
    skill: Skill_None
    specialization: Specialization_None
    intModValue: 6
    floatModValue: 0
    damageType: VulnerabilityType_Normal
  }
  fxScript: ""
  durationFxScript: ""
  is_buff: true
  is_debuff: false
  is_totem: false
}
equippedStatusEffects {
  stackingCategory: ""
  statMods {
    attribute: Attribute_Magic_Essence
    skill: Skill_None
    specialization: Specialization_None
    intModValue: 0
    floatModValue: -0.5
    damageType: VulnerabilityType_Normal
  }
  fxScript: ""
  durationFxScript: ""
  is_buff: false
  is_debuff: false
  is_totem: false
}
intended_user: IntendedUser_Player
use_on_damage: false
use_on_downed: false
use_on_death: false
use_on_revive: false
cyberware_type: CyberwareType_Arm
gear_bundle: ""
outfit_texture: "cyber_1_arm"
gear_prefab: ""
gear_covers_arms: false
gear_covers_hair: false
gear_covers_face: false
store_cost: 2000
sorting_group: "CyberwareArms"
is_consumable: false
damageType: VulnerabilityType_Normal
additionalTargetsPattern: TargetPatternType_Normal
additionalTargetsAtSource: false
instantAction: false
closeupCaption: ""
anim_group_override: ItemType_Adept
team_as_melee: false
