id: "Berlin_Quick Strike"
type: ItemType_Adept
uirep {
  icon: "icon_quickstrike"
  name: "Quick Strike"
  description: "The adept gains a 0 AP cost attack that does +6 DMG to the target."
  thumbnail: ""
}
equipPrefabName: ""
anim_type: AnimType_Spell
coreAttribute: Attribute_Willpower
coreSkill: Skill_ChiCasting
coreSpecialization: Specialization_None
forceRating: 3
apCost: 0
prereqStrings: "Player.SKILL.Skill_ChiCasting >= 7"
maxAmmo: 0
baseHPDamage: 6
baseAPDamage: 0
rangeModTable: 12
noiseLevel: 6
noiseRounds: 1
ammoReloadAPCost: 0
spreadAngle: 0
locationMissSkew: false
modelessAbilities: "Activate Quick Strike"
affectsFriendly: false
affectsEnemy: true
affectsDecker: false
canTargetSelf: false
canTargetActor: true
canTargetOccupiedGridPoint: false
canTargetUnoccupiedGridPoint: false
additionalTargets: -1
isBuff: false
isDebuff: false
cooldown: 2
cooldown_category: ""
isMagic: true
effectDuration: -1
effectRadius: 0
effectOnTile: false
fxrep {
  preActionFxName: ""
  actionFxName: "AdeptQuickstrikeAction"
  postActionFxName: ""
  hitReactionFxName: "UnarmedHitReaction"
  missReactionFxName: "UnarmedMissReaction"
}
reloadInteraction: ""
character_sheet_id: ""
character_prefab_id: ""
character_ui_name: ""
decking_default_weapon: ""
decking_hardening: 0
decking_body: 0
decking_evasion: 0
decking_max_ip: 0
decking_max_ap: 0
decking_program_limit: 0
decking_esp_limit: 0
reactions_per_use: 0
credentials: 0
ai_priority: 0
intended_user: IntendedUser_Player
use_on_damage: false
use_on_downed: false
use_on_death: false
use_on_revive: false
cyberware_type: CyberwareType_None
gear_bundle: ""
outfit_texture: ""
gear_prefab: ""
gear_covers_arms: false
gear_covers_hair: false
gear_covers_face: false
store_cost: 1000
sorting_group: "Chi Casting (Adept)"
is_consumable: false
damageType: VulnerabilityType_Normal
additionalTargetsPattern: TargetPatternType_Normal
additionalTargetsAtSource: false
instantAction: false
closeupCaption: ""
anim_group_override: ItemType_None
team_as_melee: false
