id: "cyber SSC smartlink"
type: ItemType_Cyberware
uirep {
  icon: "icon_cyber_eyevisionmag"
  name: "Smartlink Controller"
  description: "Smartlinked guns can be used with any datajack, this allows marking of targets."
}
coreAttribute: Attribute_Intelligence
coreSkill: Skill_Decking
prereqStrings: "Player.FLAG.HAS_DATAJACK == 1"
rangeModTable: 40
rangeModTable: 40
rangeModTable: 40
rangeModTable: 40
rangeModTable: 40
rangeModTable: 40
rangeModTable: 40
rangeModTable: 40
rangeModTable: 40
rangeModTable: 40
rangeModTable: 40
rangeModTable: 40
rangeModTable: 40
rangeModTable: 40
rangeModTable: 40
rangeModTable: 40
rangeModTable: 40
rangeModTable: 40
rangeModTable: 40
rangeModTable: 40
rangeModTable: 40
rangeModTable: 40
rangeModTable: 40
rangeModTable: 40
rangeModTable: 40
rangeModTable: 40
rangeModTable: 40
rangeModTable: 40
rangeModTable: 40
rangeModTable: 40
noiseLevel: 2
noiseRounds: 1
modelessAbilities: "smartlink marktarget"
affectsEnemy: true
canTargetActor: true
isDebuff: true
equippedStatusEffects {
  statMods {
    attribute: Attribute_Magic_Essence
    floatModValue: -0.45
  }
}
cyberware_type: CyberwareType_Eyes
store_cost: 2500
sorting_group: "CyberwareEyes"
