id: "SSC DroneRepairKit"
type: ItemType_Consumable
uirep {
  icon: "icon_dronerepairkit1"
  name: "Simple Drone Repair Kit"
  description: "A standard drone repair kit that repairs a minimum of 10 HP."
}
coreAttribute: Attribute_Intelligence
coreSkill: Skill_DroneControl
apCost: 1
maxAmmo: 0
baseHPDamage: 10
baseAPDamage: 0
rangeModTable: 0
noiseLevel: 0
noiseRounds: 0
modelessAbilities: "Repair"
affectsFriendly: true
canTargetSelf: false
canTargetActor: true
store_cost: 250
sorting_group: "Drones"
