id: "SSC Grenade (HE Phosphorus)"
type: ItemType_Thrown
uirep {
  icon: "icon_grenade_phosphorus"
  name: "HE Phosphorus Grenade"
  description: "Packed with phosphorus this grenade explodes causing an additonal -6 HP for 2 RNDS."
}
coreAttribute: Attribute_Strength
coreSkill: Skill_ThrowingWeapons
forceRating: 2
apCost: 2
prereqStrings: "Player.RACE != RACE.CREATURE"
maxAmmo: 0
baseHPDamage: 14
baseAPDamage: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
effectModTable: 1
effectModTable: 1
noiseLevel: 11
noiseRounds: 1
abilityModes: "Throw (Phos Grenade)"
affectsFriendly: true
affectsEnemy: true
canTargetOccupiedGridPoint: true
canTargetUnoccupiedGridPoint: true
isMagic: false
effectDuration: 2
activationStatusEffects {
  uirep {
    icon: "icon_grenade_phosphorus"
    name: "Fire: -6 HP"
  }
  stackingCategory: "Fire"
  statMods {
    attribute: Attribute_HP
    intModValue: -6
  }
  fxScript: "BurningStatus"
  is_debuff: true
}
store_cost: 650
sorting_group: "Grenades"
is_consumable: true
