id: "ar SSC ruger750"
type: ItemType_Rifle
uirep {
  icon: "icon_gun_defiancet250"
  name: "Ruger 750"
  description: "Bolt-action rifle, good at long ranges, but low rate-of-fire. SS"
}
equipPrefabName: "TacticalAssaultRifle"
anim_type: AnimType_Rifle
coreAttribute: Attribute_Quickness
coreSkill: Skill_RangedCombat
coreSpecialization: Specialization_RC_Rifle
apCost: 2
prereqStrings: "Player.SKILL.Skill_RangedCombat >= 1"
maxAmmo: 5
baseHPDamage: 14
baseAPDamage: 0
rangeModTable: -10
rangeModTable: -4
rangeModTable: -2
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: -1
rangeModTable: -1
rangeModTable: -2
rangeModTable: -3
rangeModTable: -4
rangeModTable: -8
rangeModTable: -10
rangeModTable: -12
rangeModTable: -14
rangeModTable: -16
rangeModTable: -20
rangeModTable: -24
rangeModTable: -28
rangeModTable: -32
rangeModTable: -38
rangeModTable: -44
rangeModTable: -51
rangeModTable: -60
noiseLevel: 12
noiseRounds: 1
ammoReloadAPCost: 2
abilityModes: "SS"
affectsEnemy: true
canTargetActor: true
passiveStatusEffects {
  statMods {
    skill: Skill_DrainResistance
    intModValue: 9
  }
}
store_cost: 1800
sorting_group: "SSC Rifles"
