id: "sh SSC mossbergcmdt"
type: ItemType_Shotgun
uirep {
  icon: "icon_gun_mossbergcmdt"
  name: "Mossberg CMDT"
  description: "Combat shotgun with an integral laser sight for +5% accuracy. SA/BF"
}
equipPrefabName: "TacticalShotgun"
anim_type: AnimType_Shotgun
coreAttribute: Attribute_Quickness
coreSkill: Skill_RangedCombat
coreSpecialization: Specialization_RC_Shotgun
apCost: 1
prereqStrings: "Player.SKILL.Skill_RangedCombat >= 1"
maxAmmo: 8
baseHPDamage: 16
rangeModTable: 5
rangeModTable: 5
rangeModTable: 5
rangeModTable: 5
rangeModTable: 4
rangeModTable: 3
rangeModTable: 2
rangeModTable: 1
rangeModTable: -1
rangeModTable: -4
rangeModTable: -9
rangeModTable: -13
rangeModTable: -17
rangeModTable: -21
rangeModTable: -25
rangeModTable: -29
rangeModTable: -37
effectModTable: 0.75
effectModTable: 0.5
effectModTable: 0.5
effectModTable: 0.5
effectModTable: 0.5
effectModTable: 0.25
noiseLevel: 12
noiseRounds: 1
ammoReloadAPCost: 1
spreadAngle: 9.49
abilityModes: "Single (Shotgun)"
abilityModes: "SS SG"
affectsEnemy: true
canTargetActor: true
passiveStatusEffects {
  statMods {
    skill: Skill_DrainResistance
    intModValue: 6
  }
}
store_cost: 4200
sorting_group: "SSC Shotguns"
