id: "SSC PR Erosion 1"
type: ItemType_DeckerProgram
uirep {
  icon: "icon_erosion"
  name: "Erosion Lvl 1"
  description: "Erodes integrity points of IC. Does -50 IP, with ongoing -25 IP for 2 RNDS."
}
anim_type: AnimType_Spell
coreAttribute: Attribute_Intelligence
coreSkill: Skill_Decking
forceRating: 2
apCost: 1
prereqStrings: "Player.SKILL.Skill_Decking >= 1"
baseHPDamage: 50
baseAPDamage: 0
rangeModTable: 10
rangeModTable: 9
rangeModTable: 8
rangeModTable: 7
rangeModTable: 6
rangeModTable: 5
rangeModTable: 4
rangeModTable: 3
rangeModTable: 2
rangeModTable: 1
rangeModTable: 0
rangeModTable: 0
rangeModTable: -1
rangeModTable: -2
rangeModTable: -3
rangeModTable: -4
rangeModTable: -5
rangeModTable: -6
rangeModTable: -7
rangeModTable: -8
noiseLevel: 5
noiseRounds: 1
modelessAbilities: "Erosion 1 (Matrix)"
affectsFriendly: false
affectsEnemy: true
canTargetActor: true
canTargetOccupiedGridPoint: false
canTargetUnoccupiedGridPoint: false
cooldown: 2
isMagic: false
effectDuration: 2
fxrep {
  preActionFxName: "MatrixErosionPrepare"
  actionFxName: "MatrixErosionThrowAction"
  postActionFxName: ""
  hitReactionFxName: "GenericSpellHitReaction"
  missReactionFxName: "GenericMatrixMissReaction"
}
activationStatusEffects {
  uirep {
    icon: "icon_erosion"
    name: "Erosion: IP -25 per RND"
  }
  stackingCategory: "Acid"
  statMods {
    attribute: Attribute_HP
    intModValue: -25
  }
  fxScript: "MatrixErosionStatus"
  durationFxScript: "MatrixErosionStatusHitReaction"
}
store_cost: 3500
sorting_group: "Programs"
