id: "SSC PR Firewall 3"
type: ItemType_DeckerProgram
uirep {
  icon: "icon_firewall3"
  name: "Firewall Lvl 3"
  description: "Conjures 5 squares of firewall that cause -50 IP when moving through it."
}
anim_type: AnimType_Spell
coreAttribute: Attribute_Intelligence
coreSkill: Skill_Decking
forceRating: 2
apCost: 1
prereqStrings: "Player.SKILL.Skill_Decking >= 1"
baseHPDamage: 0
baseAPDamage: 0
rangeModTable: 10
rangeModTable: 9
rangeModTable: 8
rangeModTable: 7
rangeModTable: 6
rangeModTable: 5
rangeModTable: 4
rangeModTable: 3
rangeModTable: 2
rangeModTable: 1
rangeModTable: 0
rangeModTable: -1
rangeModTable: -2
rangeModTable: -3
rangeModTable: -4
rangeModTable: -5
rangeModTable: -6
rangeModTable: -7
rangeModTable: -8
rangeModTable: -9
noiseLevel: 5
noiseRounds: 1
modelessAbilities: "Conjure"
affectsFriendly: true
affectsEnemy: true
canTargetOccupiedGridPoint: false
canTargetUnoccupiedGridPoint: true
additionalTargets: 4
cooldown: 1
isMagic: false
effectDuration: 3
effectRadius: 0
effectOnTile: true
fxrep {
  preActionFxName: "MatrixSpellPrepare"
  actionFxName: "MatrixBarrierCastAction"
  postActionFxName: ""
  hitReactionFxName: "GenericSpellHitReaction"
  missReactionFxName: "MatrixCastMissReaction"
}
activationStatusEffects {
  stackingCategory: "Fire"
  statMods {
    attribute: Attribute_HP
    intModValue: -50
  }
  statusConditions: Condition_CoverMedium
  fxScript: "MatrixBarrierStatus"
}
store_cost: 6000
sorting_group: "Programs"
