id: "SSC PR Killjoy 1"
type: ItemType_DeckerProgram
uirep {
  icon: "icon_killjoy"
  name: "Killjoy Lvl 1"
  description: "Does -1 AP to single target."
}
anim_type: AnimType_Spell
coreAttribute: Attribute_Intelligence
coreSkill: Skill_Decking
forceRating: 2
apCost: 1
prereqStrings: "Player.SKILL.Skill_Decking >= 1"
baseHPDamage: 0
baseAPDamage: 1
rangeModTable: 10
rangeModTable: 9
rangeModTable: 8
rangeModTable: 7
rangeModTable: 6
rangeModTable: 5
rangeModTable: 4
rangeModTable: 3
rangeModTable: 2
rangeModTable: 1
rangeModTable: 0
rangeModTable: 0
rangeModTable: -1
rangeModTable: -2
rangeModTable: -3
rangeModTable: -4
rangeModTable: -5
rangeModTable: -6
rangeModTable: -7
rangeModTable: -8
noiseLevel: 4
noiseRounds: 1
modelessAbilities: "Killjoy 1 (Matrix)"
affectsFriendly: false
affectsEnemy: true
canTargetActor: true
canTargetOccupiedGridPoint: false
canTargetUnoccupiedGridPoint: false
cooldown: 1
isMagic: false
fxrep {
  preActionFxName: "MatrixSpellPrepare"
  actionFxName: "MatrixStunThrowAction"
  postActionFxName: ""
  hitReactionFxName: "GenericSpellHitReaction"
  missReactionFxName: "GenericMatrixMissReaction"
}
store_cost: 2000
sorting_group: "Programs"
