id: "sh SSC winchestermodel21"
type: ItemType_Shotgun
uirep {
  icon: "icon_gun_benelliraffaello"
  name: "Winchester Model 21"
  description: "Double-barrel shotgun. SA/DB"
}
equipPrefabName: "TacticalShotgun"
anim_type: AnimType_Shotgun
coreAttribute: Attribute_Quickness
coreSkill: Skill_RangedCombat
coreSpecialization: Specialization_RC_Shotgun
apCost: 1
prereqStrings: "Player.SKILL.Skill_RangedCombat >= 1"
maxAmmo: 2
baseHPDamage: 16
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: 0
rangeModTable: -1
rangeModTable: -2
rangeModTable: -3
rangeModTable: -4
rangeModTable: -6
rangeModTable: -8
rangeModTable: -12
rangeModTable: -16
rangeModTable: -20
rangeModTable: -24
rangeModTable: -28
rangeModTable: -32
rangeModTable: -40
effectModTable: 0.75
effectModTable: 0.5
effectModTable: 0.5
effectModTable: 0.5
effectModTable: 0.5
effectModTable: 0.25
noiseLevel: 12
noiseRounds: 1
ammoReloadAPCost: 2
spreadAngle: 9.49
abilityModes: "Shotgun SA"
abilityModes: "Shotgun Double"
affectsEnemy: true
canTargetActor: true
passiveStatusEffects {
  statMods {
    skill: Skill_DrainResistance
    intModValue: 7
  }
}
store_cost: 1350
sorting_group: "SSC Shotguns"
