id: "smg SSC sckmodel100"
type: ItemType_SMG
uirep {
  icon: "icon_gun_sckmodel100"
  name: "SCK Model 100"
  description: "SMG used by Japanese Security Forces. Smartlink for +10% accuracy. SA/BF"
}
equipPrefabName: "TacticalSMG"
anim_type: AnimType_SMG
coreAttribute: Attribute_Quickness
coreSkill: Skill_RangedCombat
coreSpecialization: Specialization_RC_Smg
apCost: 1
prereqStrings: "Player.SKILL.Skill_RangedCombat >= 1"
prereqStrings: "Player.FLAG.HAS_DATAJACK == 1"
maxAmmo: 30
baseHPDamage: 10
baseAPDamage: 0
rangeModTable: 10
rangeModTable: 10
rangeModTable: 10
rangeModTable: 10
rangeModTable: 10
rangeModTable: 9
rangeModTable: 9
rangeModTable: 8
rangeModTable: 6
rangeModTable: 4
rangeModTable: 1
rangeModTable: -2
rangeModTable: -6
rangeModTable: -10
rangeModTable: -14
rangeModTable: -18
rangeModTable: -22
rangeModTable: -30
rangeModTable: -40
noiseLevel: 9
noiseRounds: 1
ammoReloadAPCost: 1
abilityModes: "SA"
abilityModes: "BF"
affectsEnemy: true
canTargetActor: true
passiveStatusEffects {
  statMods {
    skill: Skill_DrainResistance
    intModValue: 5
  }
}
store_cost: 3000
sorting_group: "SSC SMGs"
