id: "SSC Spell Stunbolt 1"
type: ItemType_Spell
uirep {
  icon: "icon_stunbolt"
  name: "Stunbolt"
  description: "A stun spell which does -1 AP to the target."
}
anim_type: AnimType_Spell
coreAttribute: Attribute_Willpower
coreSkill: Skill_Spellcasting
forceRating: 3
apCost: 2
prereqStrings: "Player.SKILL.Skill_Spellcasting >= 3"
baseHPDamage: 0
baseAPDamage: 1
rangeModTable: 10
rangeModTable: 9
rangeModTable: 8
rangeModTable: 7
rangeModTable: 6
rangeModTable: 5
rangeModTable: 4
rangeModTable: 3
rangeModTable: 2
rangeModTable: 1
rangeModTable: 0
rangeModTable: 0
rangeModTable: -1
rangeModTable: -2
rangeModTable: -3
rangeModTable: -4
rangeModTable: -5
rangeModTable: -6
rangeModTable: -7
rangeModTable: -8
noiseLevel: 4
noiseRounds: 1
modelessAbilities: "Stunbolt"
affectsFriendly: false
affectsEnemy: true
canTargetActor: true
canTargetOccupiedGridPoint: false
canTargetUnoccupiedGridPoint: false
cooldown: 2
isMagic: true
fxrep {
  preActionFxName: "StunSpellPrepare"
  actionFxName: "StunBoltThrowAction"
  postActionFxName: ""
  hitReactionFxName: "GenericSpellHitReaction"
  missReactionFxName: "GenericSpellMissReaction"
}
store_cost: 3000
sorting_group: "Spellcasting (Mage)"
