id: "Berlin_PR Firewall 1"
type: ItemType_DeckerProgram
uirep {
  icon: "icon_firewall"
  name: "Firewall Lvl 1"
  description: "Creates four squares of firewall that cause -25 IP when moving through it."
  thumbnail: ""
}
equipPrefabName: ""
anim_type: AnimType_Spell
coreAttribute: Attribute_Intelligence
coreSkill: Skill_Decking
coreSpecialization: Specialization_None
forceRating: 2
apCost: 1
prereqStrings: "Player.SKILL.Skill_Decking >= 1"
maxAmmo: 0
baseHPDamage: 0
baseAPDamage: 0
rangeModTable: 10
rangeModTable: 9
rangeModTable: 8
rangeModTable: 7
rangeModTable: 6
rangeModTable: 5
rangeModTable: 4
rangeModTable: 3
rangeModTable: 2
rangeModTable: 1
rangeModTable: 0
rangeModTable: -1
rangeModTable: -2
rangeModTable: -3
rangeModTable: -4
rangeModTable: -5
rangeModTable: -6
rangeModTable: -7
rangeModTable: -8
rangeModTable: -9
noiseLevel: 5
noiseRounds: 1
ammoReloadAPCost: 0
spreadAngle: 0
locationMissSkew: false
modelessAbilities: "Conjure"
affectsFriendly: true
affectsEnemy: true
affectsDecker: false
canTargetSelf: false
canTargetActor: false
canTargetOccupiedGridPoint: false
canTargetUnoccupiedGridPoint: true
additionalTargets: 3
isBuff: false
isDebuff: false
cooldown: 1
cooldown_category: ""
isMagic: false
effectDuration: 3
effectRadius: 0
effectOnTile: true
fxrep {
  preActionFxName: "MatrixSpellPrepare"
  actionFxName: "MatrixBarrierCastAction"
  postActionFxName: ""
  hitReactionFxName: "GenericSpellHitReaction"
  missReactionFxName: "MatrixCastMissReaction"
}
reloadInteraction: ""
character_sheet_id: ""
character_prefab_id: ""
character_ui_name: ""
decking_default_weapon: ""
decking_hardening: 0
decking_body: 0
decking_evasion: 0
decking_max_ip: 0
decking_max_ap: 0
decking_program_limit: 0
decking_esp_limit: 0
reactions_per_use: 0
credentials: 0
ai_priority: 0
activationStatusEffects {
  stackingCategory: "Fire"
  statMods {
    attribute: Attribute_HP
    skill: Skill_None
    specialization: Specialization_None
    intModValue: -25
    floatModValue: 0
    damageType: VulnerabilityType_Normal
  }
  statusConditions: Condition_CoverMedium
  fxScript: "MatrixBarrierStatus"
  durationFxScript: ""
  is_buff: false
  is_debuff: false
  is_totem: false
}
intended_user: IntendedUser_Player
use_on_damage: false
use_on_downed: false
use_on_death: false
use_on_revive: false
cyberware_type: CyberwareType_None
gear_bundle: ""
outfit_texture: ""
gear_prefab: ""
gear_covers_arms: false
gear_covers_hair: false
gear_covers_face: false
store_cost: 100
sorting_group: "Programs"
is_consumable: false
damageType: VulnerabilityType_Normal
additionalTargetsPattern: TargetPatternType_Normal
additionalTargetsAtSource: false
instantAction: false
closeupCaption: ""
anim_group_override: ItemType_None
team_as_melee: false
