id: "Berlin_Spell Manaball 3"
type: ItemType_Spell
uirep {
  icon: "icon_manaball3"
  name: "Manaball 3"
  description: "Ignores armor and targets Willpower. Does ongoing -10 HP that lasts 2 RNDS."
  thumbnail: ""
}
equipPrefabName: ""
anim_type: AnimType_Spell
coreAttribute: Attribute_Willpower
coreSkill: Skill_Spellcasting
coreSpecialization: Specialization_None
forceRating: 10
apCost: 2
prereqStrings: "Player.SKILL.Skill_Spellcasting >= 8"
maxAmmo: 0
baseHPDamage: 15
baseAPDamage: 0
rangeModTable: 10
rangeModTable: 9
rangeModTable: 8
rangeModTable: 7
rangeModTable: 6
rangeModTable: 5
rangeModTable: 4
rangeModTable: 3
rangeModTable: 2
rangeModTable: 1
rangeModTable: 0
rangeModTable: 0
rangeModTable: -1
rangeModTable: -2
rangeModTable: -3
rangeModTable: -4
rangeModTable: -5
rangeModTable: -6
rangeModTable: -7
rangeModTable: -8
effectModTable: 1
effectModTable: 1
noiseLevel: 6
noiseRounds: 1
ammoReloadAPCost: 0
spreadAngle: 0
locationMissSkew: false
modelessAbilities: "Manaball"
affectsFriendly: true
affectsEnemy: true
affectsDecker: false
canTargetSelf: false
canTargetActor: false
canTargetOccupiedGridPoint: true
canTargetUnoccupiedGridPoint: true
additionalTargets: -1
isBuff: false
isDebuff: false
cooldown: 4
cooldown_category: ""
isMagic: true
effectDuration: 2
effectRadius: 0
effectOnTile: false
fxrep {
  preActionFxName: "GenericSpellPrepare"
  actionFxName: "ManaBallThrowAction"
  postActionFxName: ""
  hitReactionFxName: "GenericSpellHitReaction"
  missReactionFxName: "GenericSpellMissReaction"
}
reloadInteraction: ""
character_sheet_id: ""
character_prefab_id: ""
character_ui_name: ""
decking_default_weapon: ""
decking_hardening: 0
decking_body: 0
decking_evasion: 0
decking_max_ip: 0
decking_max_ap: 0
decking_program_limit: 0
decking_esp_limit: 0
reactions_per_use: 0
credentials: 0
ai_priority: 0
activationStatusEffects {
  uirep {
    icon: "icon_manaball3"
    name: "Mana Burn: HP -10 per RND"
    description: ""
    thumbnail: ""
  }
  stackingCategory: "Mana"
  statMods {
    attribute: Attribute_HP
    skill: Skill_None
    specialization: Specialization_None
    intModValue: -10
    floatModValue: 0
    damageType: VulnerabilityType_Normal
  }
  fxScript: "GenericSpellStatus"
  durationFxScript: ""
  is_buff: true
  is_debuff: false
  is_totem: false
}
intended_user: IntendedUser_Player
use_on_damage: false
use_on_downed: false
use_on_death: false
use_on_revive: false
cyberware_type: CyberwareType_None
gear_bundle: ""
outfit_texture: ""
gear_prefab: ""
gear_covers_arms: false
gear_covers_hair: false
gear_covers_face: false
store_cost: 2500
sorting_group: "Spellcasting (Mage)"
is_consumable: false
damageType: VulnerabilityType_Normal
additionalTargetsPattern: TargetPatternType_Normal
additionalTargetsAtSource: false
instantAction: false
closeupCaption: ""
anim_group_override: ItemType_None
team_as_melee: false
