id: "SSC Spell Haste 2"
type: ItemType_Shaman
uirep {
  icon: "icon_haste2"
  name: "Haste 2"
  description: "Increases the friendly target\'s AP by 1 for 3 RNDS."
}
anim_type: AnimType_Spell
coreAttribute: Attribute_Charisma
coreSkill: Skill_Conjuring
forceRating: 5
apCost: 2
prereqStrings: "Player.SKILL.Skill_Conjuring >= 3"
baseHPDamage: 0
baseAPDamage: 0
rangeModTable: 10
rangeModTable: 9
rangeModTable: 8
rangeModTable: 7
rangeModTable: 6
rangeModTable: 5
rangeModTable: 4
rangeModTable: 3
rangeModTable: 2
rangeModTable: 1
rangeModTable: 0
rangeModTable: 0
rangeModTable: -1
rangeModTable: -2
rangeModTable: -3
rangeModTable: -4
rangeModTable: -5
rangeModTable: -6
rangeModTable: -7
rangeModTable: -8
noiseLevel: 0
noiseRounds: 0
modelessAbilities: "Buff Spells (Non Spirit)"
affectsFriendly: true
affectsEnemy: false
canTargetSelf: true
canTargetActor: true
canTargetOccupiedGridPoint: false
canTargetUnoccupiedGridPoint: false
isBuff: true
cooldown: 3
isMagic: true
effectDuration: 3
fxrep {
  preActionFxName: "GenericSpellPrepare"
  actionFxName: "GenericSpellCastAction"
  postActionFxName: ""
  hitReactionFxName: "GenericSpellBuffHitReaction"
  missReactionFxName: "GenericSpellMissReaction"
}
activationStatusEffects {
  uirep {
    icon: "icon_haste2"
    name: "Haste: AP +1"
  }
  stackingCategory: "Move"
  statMods {
    attribute: Attribute_AP
    intModValue: 1
  }
}
store_cost: 15000
sorting_group: "Conjuring (Shaman)"
