id: "sword SSC monofilamentkatana"
type: ItemType_Melee1H
uirep {
  icon: "icon_melee_katanaknockoff"
  name: "Ares Monofilament Sword"
  description: "All the power of a monofilament whip with less self-cutting. 1H"
}
equipPrefabName: "Katana"
anim_type: AnimType_Melee1H
coreAttribute: Attribute_Strength
coreSkill: Skill_CloseCombat
coreSpecialization: Specialization_CC_Edged
apCost: 1
prereqStrings: "Player.SKILL.Skill_CloseCombat >= 1"
baseHPDamage: 7
baseAPDamage: 0
rangeModTable: 11
abilityModes: "Melee (Advanced Sword)"
affectsEnemy: true
canTargetActor: true
store_cost: 2000
sorting_group: "SSC Melee"
