id: "Spell Heal 2"
type: ItemType_Spell
uirep {
  icon: "icon_heal2"
  name: "Heal 2"
  description: "Heals yourself or a friendly target for 25 HP."
}
anim_type: AnimType_Spell
coreAttribute: Attribute_Willpower
coreSkill: Skill_Spellcasting
forceRating: 3
apCost: 1
baseHPDamage: 25
baseAPDamage: 0
rangeModTable: 10
rangeModTable: 9
rangeModTable: 8
rangeModTable: 7
rangeModTable: 6
rangeModTable: 5
rangeModTable: 4
rangeModTable: 3
rangeModTable: 2
rangeModTable: 1
rangeModTable: 0
rangeModTable: 0
rangeModTable: -1
rangeModTable: -2
rangeModTable: -3
rangeModTable: -4
rangeModTable: -5
rangeModTable: -6
rangeModTable: -7
rangeModTable: -8
noiseLevel: 0
noiseRounds: 0
modelessAbilities: "Heal Spells"
affectsFriendly: true
affectsEnemy: false
canTargetSelf: true
canTargetActor: true
canTargetOccupiedGridPoint: false
canTargetUnoccupiedGridPoint: false
cooldown: 2
isMagic: true
fxrep {
  preActionFxName: "GenericSpellPrepare"
  actionFxName: "GenericSpellCastAction"
  postActionFxName: ""
  hitReactionFxName: "HealSpellHitReaction"
  missReactionFxName: "GenericSpellMissReaction"
}
sorting_group: "Spellcasting (Mage)"
